title,description,creator,source,publisher,date,contributor,language,rights,relation,format,type1,identifier,coverage,zotero_genre,zotero_distributor,zotero_director,z_performer,zotero_episode_number,zotero_language,zotero_network,zotero_audio_recording_format,zotero_label,zotero_running_time,zotero_num_pages,zotero_place,zotero_publisher,zotero_issn,zotero_isbn,zotero_issue,zotero_publication_title,z_url,zotero_volume,zotero_short_title,z_ref,type2,files,tags,collection
Levesque: Some students will need longer school year,"Article on Lewiston, Maine, Superintendent of schools, Leon Levesque, after his participation in a public forum. Levesque, raised in Augusta, Maine, has views on public education that would extend the length of the school year, and that would propose a philosophical shift in the way educators approach student achievement.","Washuk, Bonnie",,,2010 November 19,,English,,,,Newspaper Article,"<a href=""http://www.worldcat.org/oclc/26622903"">26622903</a>","2010, Lewiston, Maine",,,,,,,,,,,,"Lewiston, Maine",,,,,Sun Journal,"<div class=""element-text""><a href=""http://www.sunjournal.com/city/story/941903"">http://www.sunjournal.com/city/story/941903</a> (full text available here)</div>",,,,,,Community: Customs and Social Life;Education;Lewiston ME,Newspaper & Magazine Articles | Articles de journaux et de magazines
Immigrants to US share cultural knowledge,"Article on a panel discussion in Bangor, Maine, involving participants from China, Sri Lanka, Colombia, Vietnam, and Russia sharing their observations of culture as immigrants in Maine.","Gagnon, Dawn",,,2010 November 19,,English,,,,Newspaper Article,"<a href=""http://www.worldcat.org/oclc/8818350"">8818350</a>;<a href=""http://www.worldcat.org/oclc/44337162"">44337162</a>","2010, Bangor, Maine",,,,,,,,,,,,"Bangor, Maine",,,,,Bangor Daily News,"<div class=""element-text""><a href=""http://www.bangordailynews.com/story/Greater-Bangor/Immigrants-to-US-share-cultural-knowledge,159429"">http://www.bangordailynews.com/story/Greater-Bangor/Immigrants-to-US-share-cultural-knowledge,159429</a> (full text available here)</div>",,,,,,Bangor ME;Education;Emigration and Immigration;Ethnicity and Collective Identity;Language and Linguistics,Newspaper & Magazine Articles | Articles de journaux et de magazines
New grist for the mill: An old factory off Lincoln Street in Biddeford comes back to life as an apartment complex,"Article on the redevelopment of vacant space in the Riverdam Mill of Biddeford, Maine, on the banks of the Saco River.","Bouthillette, Emma",,,2010 November 18,,English,,,,Newspaper Article,"<a href=""http://www.worldcat.org/oclc/9341113"">9341113</a>","2010, Biddeford, Maine",,,,,,,,,,,,"Portland, Maine",,,,,Portland Press Herald,"<div class=""element-text""><a href=""http://www.pressherald.com/news/new-grist-for-the-mill_2010-11-16.html"">http://www.pressherald.com/news/new-grist-for-the-mill_2010-11-16.html</a> (full text available here)</div>",,,,,,Biddeford ME;Community: Customs and Social Life;Labor History;Mills and Mill Work;Saco River Valley,Newspaper & Magazine Articles | Articles de journaux et de magazines
"Feature Obituary: John Margarones, 87, OOB historian, retired Bates professor","Obituary of longtime Old Orchard Beach, Maine, resident and local historian, also a professor of education at Bates College in Lewiston, Maine.","Hoey, Dennis",,,2010 November 17,,English,,,,Newspaper Article,"<a href=""http://www.worldcat.org/oclc/9341113"">9341113</a>","2010, Old Orchard Beach, Maine",,,,,,,,,,,,"Portland, Maine",,,,,Portland Press Herald,"<div class=""element-text""><a href=""http://www.pressherald.com/news/john-margarones-87-oob-historian-retired-bates-professor-_2010-11-17.html"">http://www.pressherald.com/news/john-margarones-87-oob-historian-retired-bates-professor-_2010-11-17.html</a> (full text available here)</div>",,,,,,Death and Disaster;Education;Lynn MA;Old Orchard Beach ME;Skowhegan ME;Social History,Newspaper & Magazine Articles | Articles de journaux et de magazines
Nov. 17 Letters to the Editor: Valley in good hands,"Letter to the editor congratulating the victors of the recent mid-term elections in Maine, arguing that they will be strong representatives of the St. John Valley in Aroostook County.","Deveau, Daniel V.",,,2010 November 17,,English,,,,Newspaper Article,"<a href=""http://www.worldcat.org/oclc/8818350"">8818350</a>;<a href=""http://www.worldcat.org/oclc/44337162"">44337162</a>","2010, St. John River Valley, Maine",,,,,,,,,,,,"Bangor, Maine",,,,,Bangor Daily News,"<div class=""element-text""><a href=""http://www.bangordailynews.com/story/Opinion/Nov-17-Letters-to-the-Editor,159186"">http://www.bangordailynews.com/story/Opinion/Nov-17-Letters-to-the-Editor,159186</a> (full text available here)</div>",,,,,,Cyr ME;Ethnicity and Collective Identity;Government and Politics;Language and Linguistics;St. John River Valley,Newspaper & Magazine Articles | Articles de journaux et de magazines
Juliana L'Heureux: Reawakening French at UMaine at Augusta,"Article on University of Maine at Augusta professor, Chelsea Ray, and her commitment to French language, comparative literature, and the Franco-American communities in which she finds herself immersed as teacher.","L'Heureux, Juliana",,,2010 October 15,,English,,,,Newspaper Article,"<a href=""http://www.worldcat.org/oclc/9341113"">9341113</a>","2010, Augusta, Maine",,,,,,,,,,,,"Portland, Maine",,,,,Portland Press Herald,"<div class=""element-text""><a href=""http://www.pressherald.com/people/cth/Juliana-LHeureux-.html"">http://www.pressherald.com/people/cth/Juliana-LHeureux-.html</a> (full text available here)</div>",,,,,,Augusta ME;California;Colorado;Education;Ethnicity and Collective Identity;France;Language and Linguistics,Newspaper & Magazine Articles | Articles de journaux et de magazines
"Waterville group shares stories, language of ancestors","Article on Les Bavards - a group that gathers weekly in Waterville, Maine, to speak French and share stories to keep in mind their cultural heritage.","Robinson, David",,,2010 November 15,,English,,,,Newspaper Article,"<a href=""http://www.worldcat.org/oclc/35961915"">35961915</a>","2010, Waterville, Maine",,,,,,,,,,,,"Waterville, Maine",,,,,Morning Sentinel,"<div class=""element-text""><a href=""http://www.onlinesentinel.com"">http://www.onlinesentinel.com</a></div>",,,,,,Community: Customs and Social Life;Fairfield ME;Language and Linguistics;Waterville ME;Winslow ME,Newspaper & Magazine Articles | Articles de journaux et de magazines
Down Memory Lane,"Article about a granddaughter - now in her sixties - who enjoys traveling the same pass her grandmother rode from Canada to Central Maine on Route 201. The author recounts the history of emigration from Canada to the US down this route, and talks about how, now, many descendants of immigrants enjoy the fruits of their ancestors' labors and reconnect with their history by returning to Canada on this road trodden since the early nineteenth century.","Rhoda, Erin",,,2010 May 24,,English,,,,Newspaper Article,"<a href=""http://www.worldcat.org/oclc/8814143"">8814143</a>;<a href=""http://www.worldcat.org/oclc/60630676"">60630676</a>","2010, Maine",,,,,,,,,,,,"Augusta, Maine",,,,,Kennebec Journal,"<div class=""element-text""><a href=""http://www.kjonline.org"">http://www.kjonline.org</a></div>",,,,,,Bingham ME;Caratunk ME;Emigration and Immigration;Family;Kennebec River Valley;Labor History;Mills and Mill Work;Québec;Waterville ME;Winslow ME,Newspaper & Magazine Articles | Articles de journaux et de magazines
Le Club Calumet deems Adams outstanding citizen,"Article on the recipient of the annual Outstanding Citizen Award proffered by Le Club Calumet of Augusta, Maine. 2010's recipient, Jay Adams, played a large role in including the cultural reality of Franco Americans in the historical tourism of Maine's capital city.","Hale, John",,,2010 May 20,,English,,,,Newspaper Article,"<a href=""http://www.worldcat.org/oclc/32437699"">32437699</a>;<a href=""http://www.worldcat.org/oclc/60623303"">60623303</a>","2010, Augusta, Maine",,,,,,,,,,,,"Augusta, Maine",,,,,Capital Weekly,"<div class=""element-text""><a href=""http://capital.villagesoup.com"">http://capital.villagesoup.com</a></div>",,,,,,Augusta ME;Clubs and Societies;Community: Customs and Social Life,Newspaper & Magazine Articles | Articles de journaux et de magazines
"Huge Franco-American celebration set for July: Le Festival de la Bastille, hosted by Augusta's Le Club Calumet, now occurs every other year.","Article on the biennial Augusta, Maine, celebration organized by the city's Le Club Calumet - a Franco-American community organization of nearly 100 years.","Adams, Betty",,,2010 June 14,,English,,,,Newspaper Article,"<a href=""http://www.worldcat.org/oclc/8814143"">8814143</a>;<a href=""http://www.worldcat.org/oclc/60630676"">60630676</a>","2010, Augusta, Maine",,,,,,,,,,,,"Augusta, Maine",,,,,Kennebec Journal,"<div class=""element-text""><a href=""http://www.kjonline.org"">http://www.kjonline.org</a></div>",,,,,,Augusta ME;Clubs and Societies;Community: Customs and Social Life;Ethnicity and Collective Identity,Newspaper & Magazine Articles | Articles de journaux et de magazines
France to honor local man for WWII service,"New Gloucester, Maine, man receives the French Legion of Honor medal for his military service during the United States military's participation in the liberation of France during World War II. Growing up speaking French, he was able to translate for American and French soldiers.","Hartill, Daniel",,,2010 November 15,,English,,,,Newspaper Article,"<a href=""http://www.worldcat.org/oclc/26622903"">26622903</a>","2010, New Gloucester, Maine",,,,,,,,,,,,"Lewiston, Maine",,,,,Sun Journal,"<div class=""element-text""><a href=""http://www.sunjournal.com/city/story/941179"">http://www.sunjournal.com/city/story/941179</a> (full text available here)</div>",,,,,,Auburn ME;Language and Linguistics;New Gloucester ME;War,Newspaper & Magazine Articles | Articles de journaux et de magazines
Francos offer mixed response to LePage win,"Article featured one day prior in the Lewiston, Maine, Sun Journal under the title ""'One of us': Francos laud LePage win."" Local reaction to Paul LePage - a Franco American from Lewiston and Waterville - becoming the next governor of the state. Some insist LePage's ethnicity will raise the conversation about Franco Americans in Maine to a greater level, others argue his ethnicity is not nearly as important as his conservative political orientation.","Washuk, Bonnie",,,2010 November 5,,English,,,,Newspaper Article,"<a href=""http://www.worldcat.org/oclc/8814143"">8814143</a>;<a href=""http://www.worldcat.org/oclc/60630676"">60630676</a>","2010, Auburn, Lewiston, Maine",,,,,,,,,,,,"Augusta, Maine",,,,,Kennebec Journal,"<div class=""element-text""><a href=""http://www.kjonline.org"">http://www.kjonline.org</a></div>",,,,,,Auburn ME;Community: Customs and Social Life;Ethnicity and Collective Identity;Government and Politics;Hebron ME;Lewiston ME,Newspaper & Magazine Articles | Articles de journaux et de magazines
French Canadians in Maine,"Article on the large presence of French-Canadian emigrants in Maine, yet the conspicuous lack of information about them.","Macdonald, William",,,1896 October 15,,English,,,,Magazine Article,"<a href=""http://www.worldcat.org/oclc/1643268"">1643268</a>","19th century, Maine",,,,,,,,,,,,,,0027-8378,,,The Nation,"<div class=""element-text""><a href=""http://www.thenation.com/archive/french-canadians-maine"">http://www.thenation.com/archive/french-canadians-maine</a> (text available here)</div>",,,,,,Community: Customs and Social Life;Demography;Emigration and Immigration;Maine;Québec,Newspaper & Magazine Articles | Articles de journaux et de magazines
LePage the first Franco,"Letter to the editor on the subject of Paul LePage, Maine's 2010 governor-elect, being the state's first Franco-American governor. Some minor disputes have risen over this point, with historians looking back to the nineteenth century to find one Alonzo Garcelon, a resident of Lewiston and of part French (France) heritage, serving as legislature-elected governor for about 1 year's time. The letter here, and the dispute more largely, seeks to segregate Garcelon's ethnicity from Paul LePage's - the latter containing the historicity of the bulk of Maine's French-Canadian descendents - though both are definably Franco-American.","Poulin, Michael",,,2010 November 10,,English,,,,Newspaper Article,"<a href=""http://www.worldcat.org/oclc/26622903"">26622903</a>","2010, Maine",,,,,,,,,,,,"Lewiston, Maine",,,,,Sun Journal,"<div class=""element-text""><a href=""http://www.sunjournal.com/letters/story/939457"">http://www.sunjournal.com/letters/story/939457</a> (full text available here)</div>",,,,,,Government and Politics;Lewiston ME;Maine;Waterville ME,Newspaper & Magazine Articles | Articles de journaux et de magazines
