title,description,creator,source,publisher,date,contributor,language,rights,relation,format,type1,identifier,coverage,zotero_genre,zotero_distributor,zotero_director,z_performer,zotero_episode_number,zotero_language,zotero_network,zotero_audio_recording_format,zotero_label,zotero_running_time,zotero_num_pages,zotero_place,zotero_publisher,zotero_issn,zotero_isbn,zotero_issue,zotero_publication_title,z_url,zotero_volume,zotero_short_title,z_ref,type2,files,tags,collection
Migration Fields of French Canadian Immigrants to Southern Maine,"Article on the migrations of French Canadians in Central and Southern Maine to their precise places of departure in Québec. Includes maps that illustrate migration fields and indicate concentrations of Maine Franco Americans.  From the author: ""Birthplaces of French Canadian immigrants to six Maine cities during the period 1890-1925 were mapped from information in biographical summaries and naturalization documents....This study suggests that migration fields tend to persist through time, sometimes despite transportation changes, that the areal extent of fields is related to the size and rapidity of immigration rather than to the age of fields, and that fields are probably best identified by county rather than by community units.""","Allen, James P.",,,1972 July,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/title/migration-fields-of-french-canadian-immigrants-to-southern-maine/oclc/483269409&amp;referer=brief_results"">483269409</a>",1890-1925; Québec; Southern Maine,,,,,,,,,,,,,,0016-7428,,3,Geographical Review,"<div class=""element-text""><a href=""http://www.jstor.org/stable/213288"">http://www.jstor.org/stable/213288</a></div>",62,,,,https://francolibrary.com/archive/files/9300052e09a61c9ea290ff0b4671860d.jpg,Auburn ME;Augusta ME;Biddeford ME;Brunswick ME;Chaudiere River Valley;Demography;Emigration and Immigration;Geography;Kennebec River Valley;La Beauce QC;Labor History;Lewiston ME;Madawaska ME;Maine;Meriden CT;Mills and Mill Work;Montréal QC;Nonfiction;Nonfiction -- Geography;Penobscot River Valley;Portland ME;Québec;Saco ME;Sanford ME;Skowhegan ME;St. John River Valley;St. Lawrence River Valley;Waterville ME;Westbrook ME;Woonsocket RI,Nonfiction
Franco-Americans in Maine : A Geographical Perspective,"A study of Franco Americans in Maine with respect to geography: movement, placement, population growth, and cultural stability.  From the author: ""The major purpose of this paper is to depict the geographic characteristics of Maine's Franco-Americans during the twentieth century and to show what changes have occurred in recent years....A second purpose of the paper is to describe certain changes in culture and social structure which have occurred as Franco-Americans have experienced assimilation to varying degrees in different places.""","Allen, James P.",Full text,,1974 Autumn ,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/title/acadiensis/oclc/1670823&amp;referer=brief_results"">1670823</a>",1900-1974; Maine,,,,,,,,,,,,,,0044-5851,,1,Acadiensis,"<div class=""element-text""><a href=""http://journals.hil.unb.ca/index.php/Acadiensis/article/view/11367/12117"">http://journals.hil.unb.ca/index.php/Acadiensis/article/view/11367/12117</a> (full text available here)</div>",9,,,,https://francolibrary.com/archive/files/39a5133f320eccd1d3cecba704c42086.jpg,Aroostook County ME;Augusta ME;Biddeford ME;Caribou ME;Demography;Eagle Lake ME;Education;Ethnicity and Collective Identity;Farming and Agriculture;Forestry;Frenchville ME;Geography;Labor History;Lewiston ME;Mills and Mill Work;Nonfiction;Nonfiction -- Geography;Religion;St. John River Valley;Van Buren ME;Wallagrass ME;Waterville ME;Winterville ME,Nonfiction
A? travers les frontiières : Québec and Québec Studies,"From the author: ""Since the onset of la Revolution Tranquille more than 25 years ago, the province of Québec has established an ever-increasing international presence, alone and in cooperation with the Canadian federal government. Provincial authorities, with assertiveness and confidence, have worked to establish the province as the heartland of the French in North America and also to present the Québécois as representing a distinctive society. This study briefly traces the evolution of the Québécois' adventurous nature and examines the various ways in which the province functions beyond its frontiers, especially within the academic milieu.""","Beach, J. Richard",,,1988,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/title/journal-of-cultural-geography/oclc/43321549&amp;referer=brief_results"">43321549</a>",1960-1988; Québec,,,,,,,,,,,,,,0887-3631,,2,Journal of Cultural Geography,"<div class=""element-text""><a href=""http://www.tandf.co.uk/journals/titles/08873631.asp"">http://www.tandf.co.uk/journals/titles/08873631.asp</a></div>",8,,,,,Canada;Education;Emigration and Immigration;Ethnicity and Collective Identity;Geography;Government and Politics;Nonfiction;Nonfiction -- French in North America;Nonfiction -- Geography;Québec,Nonfiction
The French Canadians Outside of Québec,Brief essay from an early twentieth-century Canadian senator on the presence of French Canadians in the United States and the provinces of Canada.,"Belcourt, S.N.A.",,,1923-05-00,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/479566389"">479566389</a>",1900-1920; Canada; New England,,,,,,,,,,,,,,0002-7162,,#1,The Annals of the American Academy of Political and Social Science,"<div class=""element-text""><a href=""http://www.jstor.org/stable/1014690"">http://www.jstor.org/stable/1014690</a></div>",107,,,,,Acculturation and Assimilation;Biddeford ME;California;Canada;Demography;Emigration and Immigration;Exploration and Colonization;Fall River MA;Geography;Haverhill MA;Holyoke MA;Lawrence MA;Lewiston ME;Louisiana;Lowell MA;Manchester NH;New Bedford MA;New Brunswick;New England;New Mexico;Nonfiction;Nonfiction -- Government and Politics;Nonfiction -- Social Sciences;Ontario;Oregon;Providence RI;Québec;Southbridge MA;Springfield MA;US Midwest;Woonsocket RI;Worcester MA,Nonfiction
Intellectual Desire,"Autobiographical essay that attempts to tease out intersections between class, culture, and sexuality. Bérubé recounts his past  ""in a way that focuses on class, ethnic, and educational migration"" out of a homebase in working-class Franco America.  The author writes: ""I do my work now in the borderlands between social classes, between the university and the community, between heterosexual and homosexual, between educated speech and down-to-earth talk, between Franco-American and Québécois, between my family and the gay community."" Reprinting of a presentation Bérubé gave at the 1992 Montreal colloquium, ""La Ville en Rose: Le Premier colloque Québécois d'études lesbiennes et gaies."" Also available in the anthology, ""Queerly Classed: Gay Men and Lesbians Write About Class"" (Boston: South End Press, 1997).","Bérubé, Allan",Preview (from collected edition),,1996,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/42671765"">42671765</a>",1960-1990; New England,,,,,,,,,,,,,,1527-9375,,#1,GLQ: A Journal of Lesbian and Gay Studies,"<div class=""element-text""><a href=""http://books.google.com/books?id=W9ksIBH3f3EC&amp;source=gbs_navlinks_s"">http://books.google.com/books?id=W9ksIBH3f3EC&amp;source=gbs_navlinks_s</a> (limited preview here)</div>;<div class=""element-text""><a href=""http://glq.dukejournals.org/"">http://glq.dukejournals.org/</a></div>",3,,,,https://francolibrary.com/archive/files/9241a3b32947d152fc531a84538b4625.jpg,Acculturation and Assimilation;Aldenville MA;Androscoggin River Valley;Chicopee MA;Connecticut River Valley;Education;Emigration and Immigration;Gender and Sexuality;Holyoke MA;Merrimack River Valley;New England;Nonfiction;Nonfiction -- Essay;Penobscot River Valley;Personal History: Biography and Oral History;Québec;Social History,Nonfiction
Review : Backwoods Consumers and Homespun Capitalists : The Rise of a Market Culture in Eastern Canada,"A review of Béatrice Craig's ""Backwoods Consumers and Homespun Capitalists: The Rise of a Market Culture in Eastern Canada"" (University of Toronto Press, 2007). From Bittermann, provided by Project MUSE: ""Backwoods Consumers and Homespun Capitalists examines the history of rural life in the Madawaska region of the Upper Saint John River Valley from early non-Indigenous settlement in the 1780s to the closing years of the third quarter of the nineteenth century. Thus, although the title suggests otherwise, it is a story that unfolds primarily within the history of British North America and the United States rather than the new Canadian nation-state. Although cast in large part as an exploration of questions raised by a literature concerning the presence or absence of capitalism in rural North America, Craig's study offers valuable insights to those who have little patience with the transition debate and who believe that wading into that quagmire simply generates more mud(dle).""","Bitterman, Rusty",,,2010 May,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/636583523"">636583523</a>",1780-1875,,,,,,,,,,,,,,0008-3755,,,The Canadian Historical Review,"<div class=""element-text""><a href=""http://utpjournals.metapress.com/content/g16280u02kr1/?sortorder=asc"">http://utpjournals.metapress.com/content/g16280u02kr1/?sortorder=asc</a></div>",91,,,,https://francolibrary.com/archive/files/d09f7150113d9870e03ad66ffe64076e.jpg,Acculturation and Assimilation;Aroostook County ME;Business and Economics;Canada;Criticism and Review;Demography;Emigration and Immigration;Farming and Agriculture;Forestry;Fur-trading;Labor History;Maine;Native Americans;New Brunswick;New England;Nonfiction;Nonfiction -- History -- Economic and Industrial;St. John River Valley,Nonfiction
"""Les franco-américains (1860-1980)"" de François Weil et ""Les franco-américains de la Nouvelle-Angleterre (1776-1930)"" d'Yves Roby",Un révue comparatif de deux textes historiques qui ont pour sujet les franco-américains de la Nouvelle-Angleterre.,"Boudreau, Sylvie",,,1992,,fr,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/55667210"">55667210</a>",1776-1980,,,,,,,,,,,,,,1710-1158,,,Francophonies d'Amérique,"<div class=""element-text""><a href=""http://www.crccf.uottawa.ca/francophonies_amerique/index.html"">http://www.crccf.uottawa.ca/francophonies_amerique/index.html</a></div>",2,,,,https://francolibrary.com/archive/files/f696477a72f16c40ac09c8fc67bb31d9.jpg,Criticism and Review;Emigration and Immigration;Ethnicity and Collective Identity;New England;Nonfiction;Nonfiction -- History -- General;Québec,Nonfiction
The Special NDEA Institute at Bowdoin College for French Teachers of Canadian Descent,"Essay on the 1961 French Institute (Bowdoin College, Brunswick, Maine) held under the terms of the National Defense Education Act that was intended, by the federal government, to tap into and develop the linguistic resource of native Franco-American French speakers. Complicated by the divergence of New England French from standard Parisian French. Brault provides here a paraphrased version of the Institute's curricula, which aimed to standardize spoken French from its dialectical or vernacular forms local to Maine.","Brault, Gerard J.",,,1962 September,,,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/483007386"">483007386</a>",1962; New England,,,,,,,,,,,,,,0030-8129,,#4,Publications of the Modern Language Association of America,"<div class=""element-text""><a href=""http://www.jstor.org/stable/2699283"">http://www.jstor.org/stable/2699283</a></div>",77,,,,,Acculturation and Assimilation;Brunswick ME;Education;Ethnicity and Collective Identity;Government and Politics;Language and Linguistics;Lewiston ME;Manchester NH;Nonfiction;Nonfiction -- Education;Providence RI;Woonsocket RI,Nonfiction
New England French Culture,"Arguments for the historical roots of the traits that customarily charge New England French culture, and the common struggles of ethnic immigrant groups in the United States.","Brault, Gerard J.",,,1972 March,,,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/481326764"">481326764</a>","1850-1970, New England",,,,,,,,,,,,,,0016-111X,,#4,The French Review,"<div class=""element-text""><a href=""http://www.jstor.org/stable/388382"">http://www.jstor.org/stable/388382</a></div>",45,,,,,Emigration and Immigration;Ethnicity and Collective Identity;Family;Labor History;Language and Linguistics;Nonfiction;Nonfiction -- Ethnic Studies;Religion,Nonfiction
English-speaking Quebec in the Light of Its Reaction to Bill 22,"An evaluation of reactions to, condemnations of, and opinions relative to Québec's 1974 passage of Bill 22 - making law the preference and predominance of the French language in that province. Much of the hubbub surrounding this bill was created by its opponents who cited, among other things, its imposition on freedom of linguistic choice, or its strangulation of a parent's choice of the language in which one's child might be schooled. The author of this article used information gathered from English-speaking Québecers and English-language newspapers from the province. His ultimate argument is for the bill to be repealed, claiming, in the words of other opponents, that it is ""a repressive piece of legislation"" that pays scant attention to Québec's anglophone minorities.","Caldwell, Gary",,,1976 Autumn,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/60621291"">60621291</a>",1974-1976; Québec,,,,,,,,,,,,,,1943-9954,,#2,American Review of Canadian Studies,"<div class=""element-text""><a href=""http://www.acsus.org"">http://www.acsus.org</a></div>",6,,,,https://francolibrary.com/archive/files/83c7f31e4eeafc0c0121122d22f06b1e.jpg,Business and Economics;Demography;Education;Government and Politics;Journalism;Language and Linguistics;Montréal QC;Nonfiction;Nonfiction -- Government and Politics;Québec,Nonfiction
