title,description,creator,source,publisher,date,contributor,language,rights,relation,format,type1,identifier,coverage,zotero_genre,zotero_distributor,zotero_director,z_performer,zotero_episode_number,zotero_language,zotero_network,zotero_audio_recording_format,zotero_label,zotero_running_time,zotero_num_pages,zotero_place,zotero_publisher,zotero_issn,zotero_isbn,zotero_issue,zotero_publication_title,z_url,zotero_volume,zotero_short_title,z_ref,type2,files,tags,collection
The Habitant Transplanted : A Study of the French-Canadian in New England,Early 20th-century doctoral dissertation on some scientific observations of French-Canadian immigrants to New England. Reflects certain attitudes toward stereotyped ethnic immigrants to the United States between 1830 and 1920.,"Dexter, Robert Cloutman",,,1923,,en,,,,Thesis/Dissertation,"<a href=""http://www.worldcat.org/oclc/6634661"">6634661</a>",1830-1920; New England,,,,,,,,,,,,"Worcester, Massachusetts",,,,,,"<div class=""element-text""><a href=""http://books.google.com/books?id=HqOsnQEACAAJ"">The Habitant Transplanted...</a> @ Google Books</div>",,,,,https://francolibrary.com/archive/files/9e67b0def67e0605354de2b9d7700123.jpg,Emigration and Immigration;Ethnicity and Collective Identity;Geography;Language and Linguistics;Mills and Mill Work;New England;Nonfiction;Nonfiction -- Social Sciences;Nonfiction -- Sociology;Religion,Thèses & Dissertations
"Aspects of Class Ideology in a New England Ethnic Minority : The Franco-Americans of Woonsocket, Rhode Island (1865-1929) ","Dissertation on class development and distinction through North American industrialization, immigration, and urbanization in Rhode Island. The particularity of this history as shaped in the Franco American community's experience of Woonsocket, Rhode Island. Emphasis on Catholicism. Anctil's work is cited in American social historian Gary Gerstle's famous text, ""Working-Class Americanism.""","Anctil, Pierre",,,1980,,en; fr,,,,Thesis/Dissertation,"<a href=""http://www.worldcat.org/oclc/8613568"">8613568</a>","1865-1929; Woonsocket, Rhode Island",,,,,,,,,,,340,"New York, New York",,,,,,"<div class=""element-text"">None</div>",,,,,https://francolibrary.com/archive/files/28fff4bc7f1038276793cb08e7bd99c1.jpg,Business and Economics;Central Falls RI;Danielson CT;Emigration and Immigration;Ethnicity and Collective Identity;Fall River MA;Holyoke MA;Labor History;Merrimack River Valley;Mills and Mill Work;Moosup CT;Natick RI;New Bedford MA;Nonfiction;Nonfiction -- History -- Economic and Industrial;Nonfiction -- History -- Labor and Social;North Brookfield MA;North Easton CT;Pawtucket RI;Pawtuxet River Valley;Personal History: Biography and Oral History;Plainfield CT;Providence RI;Quinebaug River Valley;Religion;Social History;Springfield MA;St. Lawrence River Valley;West Warwick RI;Woonsocket RI,Thèses & Dissertations
"A Political History of Lewiston, Maine (1930-39) ","Government and politics in the industrial city of Lewiston, Maine, in the midst of the Great Depression.","Bernard, Laureat Odilon",,,1949,,en,,,,Thesis,"<a href=""http://www.worldcat.org/oclc/49798931"">49798931</a>","1930-1939; Lewiston, Maine",,,,,,,,,,,388,"Orono, Maine",,,,,,"<div class=""element-text""><a href=""http://books.google.com/books?id=-M-_GwAACAAJ"">A Political History of Lewiston Maine</a> @ Google Books</div>",,,,,https://francolibrary.com/archive/files/de4539ecc626ef84152640c615af4bd7.jpg,Business and Economics;Community: Customs and Social Life;Government and Politics;Lewiston ME;Maine;Nonfiction;Nonfiction -- Government and Politics,Thèses & Dissertations
"Labor Study of the Franco-American Community of Waterville, Maine, from 1890 to 1940 ","Study in labor history of the Franco-Americans in Waterville, Maine up to 1940. Includes author-conducted interviews. From Bernier: ""The purpose of this study is not to undermine the importance of [successful Franco-American businessmen and professionals], but it is an attempt to account for the notable achievements of the working class Franco-Americans who contributed their labor, their votes, and their efforts to improve working conditions through striking evevn in the face of discrimination and financial insecurity. This group has been ignored in almost all the written accounts of Waterville, and this error must be rectified. The Franco-Americans--laborers, businessmen, and professionals, all contributed to the character and to the prosperity of Waterville.""","Bernier, Margaret",Full text,,1981,,en,,,,Thesis,"<a href=""http://www.worldcat.org/oclc/19834728"">19834728</a>","1890-1940; Waterville, Maine",,,,,,,,,,,103,"Waterville, Maine",,,,,,"<div class=""element-text""><a href=""http://digitalcommons.colby.edu/sociology_senior/"">Labor Study of the Franco-American Community...</a> @ Digital Commons @ Colby</div>",,,,,https://francolibrary.com/archive/files/bc3d6603bf5570109fb425048568b631.jpg,Emigration and Immigration;Kennebec River Valley;Labor History;Mills and Mill Work;Nonfiction;Nonfiction -- History -- Labor and Social;Nonfiction -- Social Sciences;Nonfiction -- Sociology;Personal History: Biography and Oral History;Waterville ME,Thèses & Dissertations
A Comparison of Attitudes Among Maine Communities Toward Franco-American Civic Status and Native Language Vitality,"From the introduction: ""The extent to which cultural diversity in Maine schools is enhanced by appropriate educational programs for Franco-Americans is the focus of this research effort.""...""A study of culture-related attitudes of citizens...""...""An investigative study of the distinction between the attitudes of Franco-Americans and non-Franco-Americans in those communities regarding native French language vitality and Franco-American civic status...""","Bérubé, Bernard (Barney) Arthur",,,1986,,en,,,,Thesis,"<a href=""http://www.worldcat.org/oclc/16643811"">16643811</a>",20th century; Maine,,,,,,,,,,,214,"Orono, Maine",,,,,,"<div class=""element-text""><a href=""http://foglerlibrary.org/theses/theses.asp?Cmd=abstract&amp;ID=MARC0058"">A Comparison of Attitudes...</a> @ Fogler Library, UMaine</div>;<div class=""element-text""><a href=""http://books.google.com/books?id=o0GdtgAACAAJ"">A Comparison of Attitudes...</a> @ Google Books</div>",,,,,https://francolibrary.com/archive/files/2546e622bb77671ab308767a8fa45680.jpg,Augusta ME;Education;Ethnicity and Collective Identity;Fort Kent ME;Government and Politics;Jackman ME;Language and Linguistics;Lewiston ME;Nonfiction;Nonfiction -- Education;Presque Isle ME;Saco ME;Sanford ME;Van Buren ME;Winslow ME,Thèses & Dissertations
"A Social History of the French Canadian Community of Suncook, New Hampshire (1870-1920) ","Master's thesis on the French Canadian immigrants to the towns of Suncook, Pembroke, and Allentown, New Hampshire at the turn of the century. Emphasis on community and social life.","Blazon, Gerard",,,1974,,en,,,,Thesis,"<a href=""http://www.worldcat.org/oclc/53773481"">53773481</a>",1870-1920; New Hampshire,,,,,,,,,,,173,"Durham, New Hampshire",,,,,,"<div class=""element-text""><a href=""http://books.google.com/books?id=xhAsHQAACAAJ&amp;dq=a+social+history+of+the+french+canadian+community+of+suncook+new+hampshire&amp;hl=en&amp;ei=GfupTJ34N4L68Ab8jenyDA&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CCoQ6AEwAA"">A Social History of the French Canadian Community of Suncook... @ Google Books</a></div>",,,,,https://francolibrary.com/archive/files/927c4f4120961e22522cb1af142d549d.jpg,Allenstown NH;Community: Customs and Social Life;Emigration and Immigration;Ethnicity and Collective Identity;Language and Linguistics;Nonfiction;Nonfiction -- History -- Labor and Social;Pembroke NH;Religion;Social History;Suncook NH,Thèses & Dissertations
"Revolution : The Coming of F.A.R.O.G., 1970-1972 ","From the author: ""In 1970 a group of Franco-Americans at the University of Maine, Orono, began meeting to discuss the creation of a new Franco-American ethnic identity. By the end of 1972, the succeeded in establishing a formal Franco-American program. They succeeded for several reasons. Like some Franco-Americans of their time, they felt acutely the loss of their ethnic group's former ties to a proud French-Canadian heritage. They learned from other movements of their own time how to go about redefining their group's identity, and the administration of the University of Maine, Orono, provided some of the material resources that the group needed in order to make it a formally established program.""","Brown, Michael Serizawa",Full text,,1992,,en,,,,Thesis,"<a href=""http://www.worldcat.org/oclc/27201223"">27201223</a>","1970-1972; Orono, Maine",,,,,,,,,,,54,"Orono, Maine",,,,,,"<div class=""element-text""><a href=""http://www.library.umaine.edu/theses/theses.asp?Cmd=abstract&amp;ID=MARC1276"">Revolution...</a> @ Fogler Library, UMaine</div>;<div class=""element-text""><a href=""http://books.google.com/books?id=qPDVMwEACAAJ"">Revolution...</a> @ Google Books</div>",,,,,https://francolibrary.com/archive/files/ef50a66efbb8dabd62abfd62baef0245.jpg,Acculturation and Assimilation;Biddeford ME;Burlington VT;Business and Economics;Community: Customs and Social Life;Danielson CT;Demography;Education;Emigration and Immigration;Ethnicity and Collective Identity;Fall River MA;Farming and Agriculture;Farmington ME;Fitchburg MA;Forestry;Fort Kent ME;France;Gender and Sexuality;Gorham ME;Government and Politics;Haverhill MA;Holyoke MA;Labor History;Lowell MA;Manchester NH;Mills and Mill Work;Nonfiction;Nonfiction -- Education;Nonfiction -- History -- Labor and Social;North Brookfield MA;Orono ME;Presque Isle ME;Québec;Religion;Southbridge MA;Woonsocket RI;Worcester MA,Thèses & Dissertations
Aroostook Architect : The Life and Times of the Reverend Joseph S. Marcoux ,"Biographical history of a northern Maine Roman Catholic priest, Rev. Joseph S. Marcoux. Fr. Marcoux was the first pastor at St. Joseph's Parish in the town of Wallagrass, Maine, in Aroostook County.","Callnan, Miriam Therese",,,1974,,en,,,,Thesis/Dissertation,"<a href=""http://www.worldcat.org/oclc/3488495"">3488495</a>",1850-1918; Maine,,,,,,,,,,,304,"Orono, Maine",,,,,,"<div class=""element-text""><a href=""http://www.library.umaine.edu/theses/theses.asp?Cmd=abstract&amp;ID=ocm51762191"">Aroostook Architect...</a> @ Fogler Library, UMaine</div>;<div class=""element-text""><a href=""http://books.google.com/books?isbn=0884480119"">Aroostook Architect...</a> @ Google Books</div>",,,,,https://francolibrary.com/archive/files/d6631ecb930fb9d7fdb44428ac53af04.jpg,Aroostook County ME;Eagle Lake ME;Fort Kent ME;Nonfiction;Nonfiction -- History -- Local;Personal History: Biography and Oral History;Religion;Wallagrass ME,Thèses & Dissertations
The Role of French National Societies in the Socio-Cultural Evolution of the Franco-Americans of New England from 1860 to the Present : An Analytical Macro-Sociological Case Study in Ethnic Integration Based on Current Social System Models ,"Dissertation on the histories of Franco American national societies and fraternal organizations in New England. Their significance to French Canadian and Franco American communities there from 1860 to 1960. How these organizations were involved in the socialization of francophone Canadian immigrants in the United States. An argument that these processes of socialization are better described as ""integration"" rather than ""assimilation."" Observations on ""the socio-cultural evolution of the Franco-American ethnic group in New England"" (1). A case study in macrosociology. Contains various observations of Franco American national societies and parishes throughout the Northeast.","Chevalier, Sister Florence Marie, S.S.A.",,,1972,,en,,,,Thesis/Dissertation,"<a href=""http://www.worldcat.org/oclc/11037919"">11037919</a>",1860-1972; New England,,,,,,,,,,,386,"Washington, D.C.",,,,,,"<div class=""element-text""><a href=""http://books.google.com/books?id=RRTAMAAACAAJ"">The Role of French National Societies...</a> @ Google Books</div>",,,,,https://francolibrary.com/archive/files/3f56ca3ca3a671dd977001bf403bbadc.jpg,Acculturation and Assimilation;Albany NY;Anoka MN;Aurora IL;Biddeford ME;Business and Economics;Canada;Chicago IL;Community: Customs and Social Life;Concord NH;Connecticut;Detroit MI;Education;Emigration and Immigration;Ethnicity and Collective Identity;Fall River MA;Fitchburg MA;Glens Falls NY;Government and Politics;Holyoke MA;Irish Americans;Lewiston ME;Lowell MA;Maine;Manchester NH;Massachusetts;Mendota MN;Millbury MA;Minneapolis MN;Nashua NH;New England;New Hampshire;New York NY;Nonfiction;Nonfiction -- Social Sciences;Nonfiction -- Sociology;Polish Americans;Providence RI;Religion;Rhode Island;Salem MA;Southbridge MA;St. Paul MN;Troy NY;Vermont;Wayne County MI;Webster MA;Westborough MA;Willimantic CT;Woonsocket RI;Worcester MA,Thèses & Dissertations
The French-Canadian Ethnic Factor in Maine Politics ,"Study of links between French ethnicity and voting in Maine in the 20th century. Franco American voting patterns, and the recent history of the Franco American voting bloc in Maine state politics.","Cox, Harold R.",,,1972,,en,,,,Thesis,"<a href=""http://www.worldcat.org/oclc/11328160"">11328160</a>",20th century; Maine,,,,,,,,,,,203,"Orono, Maine",,,,,,"<div class=""element-text""><a href=""http://books.google.com/books?id=OWo5HwAACAAJ"">The French-Canadian Ethnic Factor in Maine Politics</a> @ Google Books</div>;<div class=""element-text""><a href=""http://www.library.umaine.edu/theses/theses.asp?Cmd=abstract&amp;ID=ocm51647202"">The French-Canadian Ethnic Factor in Maine Politics</a> @ Fogler Library, UMaine</div>",,,,,https://francolibrary.com/archive/files/af37600b3c0e87611e3f50f23a23828e.jpg,Ethnicity and Collective Identity;Government and Politics;Maine;Nonfiction;Nonfiction -- Government and Politics;Nonfiction -- Social Sciences,Thèses & Dissertations
