,location
0,maine
1,southern maine
2,maine
3,lewiston
4,maine
5,maine
6,bristol
7,connecticut
8,lewiston
9,maine
10,nouvelleangleterre
11,canada
12,new england
13,new england
14,canada
15,new england
16,new england
17,maine
18,new england
19,maine
20,maine
21,massachusetts
22,new england
23,new brunswick
24,bascanada
25,canada
26,new england
27,madawaska
28,maine
29,madawaska
30,new brunswick
31,new brunswick
32,maine
33,madawaska
34,maine
35,madawaska
36,new brunswick
37,waterville
38,maine
39,worcester
40,massachusetts
41,canada
42,maine
43,new england
44,new england
45,new england
46,new brunswick
47,new england
48,new england
49,massachusetts
50,lowell
51,massachusetts
52,new hampshire
53,new england
54,ontario
55,quãbec
56,canada
57,new england
58,cohoes
59,new york
60,cohoes
61,new york
62,gardner
63,massachusetts
64,new england
65,new england
66,michigan
67,lewiston
68,maine
69,woonsocket
70,rhode island
71,quebec
72,new england
73,new york
74,louisiana
75,new hampshire
76,rhode island
77,new england
78,worcester
79,massachusetts
80,new england
81,new england
82,new england
83,louisiana
84,canada
85,canada
86,new england
87,maine
88,canada
89,new hampshire
90,maine
91,new england
92,new england
93,new england
94,midwest
95,california
96,maine
97,madawaska
98,maine
99,madawaska
100,new brunswick
101,new england
102,rhode island
103,canada
104,new york
105,france
106,new england
107,north america
108,new england
109,new england
110,new england
111,maine
112,new france
113,new england
114,brunswick
115,maine
116,north america
117,europe
118,louisiane
119,new england
120,new england
121,new england
122,michigan
123,minnesota
124,new england
125,nouvelleangleterre
126,northern
127,new england
128,maine
129,new england
130,new england
131,canada
132,ãtatsunis
133,lewiston
134,maine
135,maine
136,waterville
137,maine
138,vermont
139,manchester
140,new hampshire
141,canada
142,fall river
143,massachusetts
144,new england
145,vermont
146,maine
147,fall river
148,massachusetts
149,new england
150,du nord
151,north america
152,massachusetts
153,new brunswick
154,lowell
155,massachusetts
156,lowell
157,massachusetts
158,north america
159,illinois
160,new hampshire
161,lowell
162,massachusetts
163,vermont
164,new england
165,new england
166,new england
167,cohoes
168,new york
169,canada
170,canada
171,maine
172,barre
173,vermont
174,albany
175,new york
176,rhode island
177,new england
178,maine
179,rhode island
180,canada
181,france
182,orono
183,maine
184,rochester
185,new hampshire
186,madawaska
187,maine
188,canada
189,maine
190,woonsocket
191,rhode island
192,lewiston
193,maine
194,waterville
195,maine
196,maine
197,new hampshire
198,orono
199,maine
200,maine
201,new england
202,maine
203,worcester
204,massachusetts
205,fall river
206,lynn
207,massachusetts
208,fitchburg
209,worcester
210,massachusetts
211,maine
212,lowell
213,massachusetts
214,vermont
215,manchester
216,new hampshire
217,waterville
218,maine
219,manchester
220,new hampshire
221,massachusetts
222,connecticut
223,maine
224,new brunswick
225,maine
