title,description,creator,source,publisher,date,contributor,language,rights,relation,format,type1,identifier,coverage,zotero_genre,zotero_distributor,zotero_director,z_performer,zotero_episode_number,zotero_language,zotero_network,zotero_audio_recording_format,zotero_label,zotero_running_time,zotero_num_pages,zotero_place,zotero_publisher,zotero_issn,zotero_isbn,zotero_issue,zotero_publication_title,z_url,zotero_volume,zotero_short_title,z_ref,type2,files,tags,collection
Unlikely Heroes and Likely Songs,"Recorded at the 2009 Mariposa Storytelling Festival, Mariposa, California. From Parent's website: ""In this live CD, Michael performs his original stories 'My Semi-fictional Cousin Artie,' 'The Geno Maneuver,' 'Geriatric Lock Ward,' 'The Garbage Hero,' 'Uncle Joe Fournier.' Songs include French songs (and quick French 'lesson'), and favorites such as 'Side by Side,' 'Frière Jacques,' and 'Short'nin Bread.'"" ","Parent, Michael ",,,2010,,English and français,,,CD audio,Audio Recording,,,,,,,,,,,,,,"Mariposa, California",,,0654867964,,,"<div class=""element-text""><a href=""http://www.michaelparentstorytelling.com/recordings.htm"">http://www.michaelparentstorytelling.com/recordings.htm</a></div>",,,,,https://francolibrary.com/archive/files/97a499a13cec569abf232d74040fee26.JPG,Folklore;Language and Linguistics;Music,Audio & Video
Songs from Grandma's Kitchen (Chansons de la cuisine à  Mémière) : French-Canadian Toe-Tappers (and a few stories),"A recording of a collection of songs and tales by storyteller Michael Parent, with the musical accompaniment of Greg Boardman. From the artists: ""This live DVD of a Johnson Hall [Gardiner ME] concert features a variety of songs in the French-Canadian tradition, plus a few instrumental medleys with fiddle and guitar, and Hank Williams's 'Jambalaya.' Stories include Michael's bi-lingual, comic version of 'The French Truck Driver,' and Greg Boardman telling the story behind the 'Hangman's Reel' and fiddling the tune.""","Parent, Michael;Boardman, Greg",,,2010,,English and français,,,DVD video,Video Recording,,,,,,,,,,,,,,"Gardiner, Maine",,,0654867954,,,"<div class=""element-text""><a href=""http://www.michaelparentstorytelling.com/recordings.htm"">http://www.michaelparentstorytelling.com/recordings.htm</a></div>",,,,,https://francolibrary.com/archive/files/bfa52aafae617194dd588124a2ddac42.JPG,Ethnicity and Collective Identity;Family;Folklore;Gardiner ME;Lewiston ME;Music,Audio & Video
A Beautiful Game,"A recording of Parent's live storytelling performance. From his website: ""Known for his poignantly humorous glimpses into Franco-American life, Michael Parent describes 'A Beautiful Game' as the 'mostly true' recollections of his longtime connection to the game of ice hockey. Set in Lewiston, where Parent grew up, the story follows him from his days as a young boy struggling to stay upright on his first pair of skates, to his big moment as goalie for the St. Dom's hockey team which competed, against heavy odds, at the Boston Garden for the New England Championship in 1964.""","Parent, Michael",,,2010,,English and français,,,DVD Video,Video Recording,,,,,,,,,,,,,,,,,0654867964,,,"<div class=""element-text""><a href=""http://www.michaelparentstorytelling.com/beautifulgame.htm"">http://www.michaelparentstorytelling.com/beautifulgame.htm</a></div>",,,,,https://francolibrary.com/archive/files/fa75d1cb98ed61708008234c816d6b4e.jpg,Boston MA;Community: Customs and Social Life;Family;Folklore;Lewiston ME;Mills and Mill Work;Religion;Sports and Leisure,Audio & Video
What Happened To Kerouac?,"Documentary about Franco American writer Jack Kerouac, the American literary and cultural movement spurred on by what is known as the ""Beat Generation, and the countdown of Kerouac's final days. Features support from the following persons: Allen Ginsberg, Edie Parker Kerouac, Gregory Corso, William Burroughs, Steve Allen, William Buckley, Charlie Parker, Neal Cassady, Carolyn Cassady, Gary Snyder, Jan Kerouac, Lawrence Ferlinghetti, Michael McClure, Herbert Huncke, Fran Landesman, Ed Sanders, John Clellon Holmes, Ann Charters, Ed White, Diane DiPrima, Father ""Spike"" Morissette, Joyce Johnson, Robert Creeley, Lewis Yablonsky. ","Lerner, Richard (director)",,,1986,M3770W,English (with Italian subtitles),,,,Video Recording,"<a href=""http://www.worldcat.org/oclc/52960431"">52960431</a>",1930-1986; United States,,,,,,,,,,01:36:00,,,,,9.78074E+12,,,"<div class=""element-text""><a href=""http://www.imdb.com/title/tt0090312/"">http://www.imdb.com/title/tt0090312/</a></div>",,,,,https://francolibrary.com/archive/files/62bd309175281a99a0ee9bc127d0d2ea.jpg,Alcohol and Drugs;Fiction and Literature;Film and Television;Lowell MA;New York NY;Personal History: Biography and Oral History;Poetry;San Francisco CA,Audio & Video
Le Sel de la semaine: Seguin rencontre Kerouac,"Du ''Sel de la Semaine'' animé par Fernand Séguin à  Radio-Canada. Contiens une interview avec Jack Kerouac sur sa vie et ses oeuvres, un métrage de Lowell, Massachusetts des années 1960s, et des interviews publiques avec des hommes franco-américains à  un club social. [Contains a Quebec interview with Jack Kerouac on his life and works, as well as some footage of Lowell, Massachusetts, from the 1960s, and some public interviews with Franco-American men at a Lowell social club.] De Radio-Canada: ""L'entrevue que Jack Kerouac accorde à  Fernand Seguin se déroule en français puisque l'écrivain est issu d'une famille canadienne française installée au Massachusetts. L'auteur parle de son enfance, de son goût pour les voyages, de sa façon d'écrire. Kerouac donne également sa définition du terme « beat generation », qui traduit la misière des Noirs de l'Amérique sudiste, la béatitude et le rythme jazz."" 

(NOTE: The titles of the clips below are additions made by the YouTube publisher. ""Jack Kerouac is Quebecois"" is not the official title of the episode.)
","Séguin, Fernand (ressource)",Watch:  Part 1 of 2 ; Part 2 of 2,,1967 mars 7,KlipKultur4 (YouTube),Français,,,,,"<a href=""http://www.worldcat.org/oclc/576092757"">576092757</a>;<a href=""http://www.worldcat.org/oclc/631883971"">631883971</a>;<a href=""http://www.worldcat.org/oclc/77245890"">77245890</a>;<a href=""http://www.worldcat.org/oclc/428079542"">428079542</a>","1967; Lowell, Massachusetts; Québec",,,,,,,,,,00:23:07,,"Québec, Canada",,,,,,"<div class=""element-text""><a href=""http://archives.radio-canada.ca/emissions/411-126/"">http://archives.radio-canada.ca/emissions/411-126/</a></div>",,,,,https://francolibrary.com/archive/files/8d6dad9c2b11122bb5a482a26d1c652c.jpg,Community: Customs and Social Life;Family;Fiction and Literature;Film and Television;Language and Linguistics;Lowell MA;Personal History: Biography and Oral History;Québec,Audio & Video
Paul Bunyan,"Walt Disney cartoon rendition of the American folklore tale about a woodsman from the Northeast and Midwest named Paul Bunyan. This cartoon also incorporates another piece of folklore from French Canada - the character of Joseph Montferrand (or Joe Muffaw) - who rivals Paul, and whose history as a woodcutter in eastern Canada developed into tales that were passed down as folklore through French Canadian immigration to New England and the Middle West. See George Monteiro's article in #287 of the Journal of American Folklore, ""Histoire de Montferrand: L'Athlete Canadien and Joe Mufraw.""","Clark, Les (director)",,,1958,,en,,,,TV Broadcast,"<a href=""http://www.worldcat.org/oclc/31829463"">31829463</a>",,Children's Animation,,"Clark, Les",,,,Walt Disney,,,00:16:58,,,,,,,,"<div class=""element-text""><a href=""http://www.imdb.com/title/tt0052056/"">http://www.imdb.com/title/tt0052056/</a></div>",,,,,https://francolibrary.com/archive/files/a03bfef8ad0ba6d79c65da5f05e0ddce.jpg,Folklore;Forestry;Great Lakes Region;Maine;Minnesota,Audio & Video
Back in the Day,"Music video set in the Sand Hill neighborhood of Augusta, Maine.
","Swails, J.",Watch: VIDEO,,2010 August 14,JSwails;HitmanProductions207,English,,,Streaming video,Video Recording,,"2010; Augusta, Maine",,,,,,,,,,00:03:15,,,,,,,,"<div class=""element-text""><a href=""http://www.youtube.com/watch?v=M57ayrJ4YiU&amp;feature=youtube_gdata_player"">http://www.youtube.com/watch?v=M57ayrJ4YiU&amp;feature=youtube_gdata_player</a></div>",,,,,,Augusta ME;Family;Music;Sand Hill ME,Audio & Video
The Belles of New England,"A presentation by William Moran on his book, ""The Belles of New England,"" as a portion of the 2002 Concord Festival of Authors, Concord, Massachusetts. From C-SPAN: ""Mr. Moran discussed his book 'The Belles of New England: The Women of the Textile Mills and the Families Whose Wealth They Wove,' published by Thomas Dunne Books. The book recounts the rise and fall of the New England textile industry of the 19th century. Mr. Moran traces the experiences of the thousands of women who left New England farm towns and the Irish, Canadian and European immigrants who came to work in the textile mills. At a time when women had no political influence, these workers opposed mill owners like the Cabots and Lowells of Boston for fair wages and safer working conditions. Following his remarks, Mr. Moran answered questions from members of the audience.""","Moran, William (speaker)",,,2002 October 26,,English,,,,TV Broadcast,,,,,,,,,,,,00:30:01,,"Lowell, Massachusetts",,,,,,"<div class=""element-text""><a href=""http://www.c-spanvideo.org/program/id/117905"">http://www.c-spanvideo.org/program/id/117905</a></div>",,,,,https://francolibrary.com/archive/files/db7e679f9b349c9631f53bf0f5aa7253.jpg,Acculturation and Assimilation;Biddeford ME;Boston MA;Business and Economics;Connecticut;Emigration and Immigration;Farming and Agriculture;Gender and Sexuality;Great Britain;Ireland;Labor History;Lawrence MA;Lewiston ME;Lowell MA;Manchester NH;Mills and Mill Work;Nashua NH;New Bedford MA;Personal History: Biography and Oral History;Québec;Saco ME;Saco River Valley;Social History;Sports and Leisure;Waltham MA,Audio & Video
C'est la vie : Jane Martin's Franco-American Heritage,"Episode of a CBC broadcast, ""C'est la vie,"" whose feature is Franco American life in southern Maine. Biddeford, the hometown of narrator Jane Martin, is the episode's main setting. Contains interviews with Martin's aunt and parents in Biddeford and neighboring Wells Beach. Discussions about language, cultural difference, and travel between Quebec and the United States. Features the song ""Cet hiver là "" by Michel Rivard.","Martin, Jane",Listen: AUDIO,,2010 September 7,"St. Laurent, Bernard (host)",English and français,,,Streaming audio,Radio broadcast,,"2010; Biddeford, Maine",,,,,,,,,,00:26:54,,"Biddeford, Maine",,,,,,"<div class=""element-text""><a href=""http://www.cbc.ca/cestlavie/episode/2010/09/07/september-7th-2010/"">http://www.cbc.ca/cestlavie/episode/2010/09/07/september-7th-2010/</a> (full audio available here)</div>",,,,,https://francolibrary.com/archive/files/753fe2efaf1e3e5ecf0f69786ea7e93b.jpg,Biddeford ME;Emigration and Immigration;Ethnicity and Collective Identity;Labor History;Language and Linguistics;Mills and Mill Work;New England;Personal History: Biography and Oral History;Québec;Sanford ME;Wells ME,Audio & Video
Cyberfair 2001,"Students at North Country Union High School in Newport, Vermont are champions of the 2001 Cyberfair, a worldwide website design competition. Their site, LifeonTheBorder.com (no longer in service), was about their Franco American community's heritage, including interviews with family members and commentary on their geographic proximity to Canada. This is the news footage on their competition victory.",WCAX-TV,,,2001,,English,,,,TV Broadcast,,"2001, Newport, Vermont",,,,,,,WCAX-TV,,,00:04:03,,"Burlington, Vermont",,,,,,"<div class=""element-text""><a href=""http://video.google.com/videoplay?docid=-3036467589289435258#"">http://video.google.com/videoplay?docid=-3036467589289435258#</a> (full video available here) <br/><br/> <a href=""http://www.globalschoolnet.org/gsncf/narrative_view.cfm?narrid=191"">http://www.globalschoolnet.org/gsncf/narrative_view.cfm?narrid=191</a></div>",,,,,,Education;Emigration and Immigration;Ethnicity and Collective Identity;Geography;Journalism;Newport VT;Personal History: Biography and Oral History;Vermont;Youth,Audio & Video
