title,description,creator,source,publisher,date,contributor,language,rights,relation,format,type1,identifier,coverage,zotero_genre,zotero_distributor,zotero_director,z_performer,zotero_episode_number,zotero_language,zotero_network,zotero_audio_recording_format,zotero_label,zotero_running_time,zotero_num_pages,zotero_place,zotero_publisher,zotero_issn,zotero_isbn,zotero_issue,zotero_publication_title,z_url,zotero_volume,zotero_short_title,z_ref,type2,files,tags,collection
French-Canadian Literature: An Introductory Bibliography,"From Chartier: ""The following bibliography is a personal response to a growing number of demands from colleagues wishing to become acquainted with the rapidly expanding field of French-Canadian literature. This bibliography lays no claim whatever to completeness...only a multi-volumed effort could make such a claim, given the vastness of the subject-matter. The items listed here represent only a fraction of the very best work published in the fairly recent past. The general works are the most reliable source for readers interested in the literature of the earlier period.""","Chartier, Armand B.",,,1976 Autumn,,,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/484628221"">484628221</a>",up to 1976,,,,,,,,,,,,,,0047-7729,,#2,Modern Language Studies,"<div class=""element-text""><a href=""http://www.jstor.org/stable/3194613"">http://www.jstor.org/stable/3194613</a></div>",6,,,,,Art and Architecture;Bibliography;Ethnicity and Collective Identity;Fiction and Literature;Literary Works -- Criticism and History;New England;Poetry;Québec;Social History,Bibliographies
A Franco-American Bibliography: New England,"1979 annotated bibliography of materials relevant to Franco American studies. Lists resources (books, etc.) with their corresponding physical locations in one or more New England libraries.","Anctil, Pierre",,,1979 June,,English and français,,,,Bibliography,"<a href=""http://www.worldcat.org/oclc/12238178"">12238178</a>",New England,,,,,,,,,,,160,"Bedford, New Hampshire",National Materials Development Center,,,,,,,,,,,Bibliography;Education;New England,Bibliographies
"Barre, Vermont: An Annotated Bibliography","A descriptive bibliography of sources related to the history, politics, and peoples of Barre, Vermont. Divided into the following categories: Historical Sources, Politics and Business, Social Life and Organizations, Poets and Writers, Ethnic Sources, Church History, Schools, Transportation, Genealogy, Oral History, Audio-Visual, and Other.","Beavin, Daniel;Blachly, Alice;Hathaway, Richard;Sacher, Andrew",,,1979,,,,,,Bibliography,"<a href=""http://www.worldcat.org/oclc/5243727"">5243727</a>","Barre, Vermont",,,,,,,,,,,80,"Barre, Vermont",Aldrich Public Library,,,,,"<div class=""element-text""><a href=""http://books.google.com/books?id=NLkYPAAACAAJ&amp;dq=barre,+vermont:+an+annotated+bibliography&amp;hl=en&amp;ei=BdDBTMKLL8P78AbWrYDYBg&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CDAQ6AEwAA"">Barre, Vermont: An Annotated Bibliography @ Google Books</a></div>",,,,,https://francolibrary.com/archive/files/8bbcf139db7e412aeb630a9c55f600d9.jpg,Barre VT;Bibliography;Business and Economics;Community: Customs and Social Life;Education;Ethnicity and Collective Identity;Fiction and Literature;Genealogy;Government and Politics;Personal History: Biography and Oral History;Religion,Bibliographies
Franco-American and Québec Studies: A selected bibliography of materials held by the Libraries of the State University of New York at Albany,"Short bibliography of texts relevant to Franco American and Québec studies to be found at the library of SUNY Albany. Divided into the following categories: Reference Material, General Works, Literature and Criticism, Franco-American Authors and Topics, and Periodicals.","Brieère, Eloise;Benedict, Marjorie A.",,,1984,,,,,,Bibliography,"<a href=""http://www.worldcat.org/oclc/12743446"">12743446</a>","Albany, New York",,,,,,,,,,,31,"Albany, New York",State University of New York at Albany,,,,,"<div class=""element-text""><a href=""http://books.google.com/books?id=xDj1GgAACAAJ&amp;dq=briere%3B+franco-american+and+quebec+studies&amp;hl=en&amp;ei=Sr7aTJKOIMG88gaR_YX3CQ&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CC4Q6AEwAA"">Franco-American and Québec Studies: A selected bibliography... @ Google Books</a></div>",,,,,,Bibliography;Criticism and Review;Fiction and Literature;Journalism;Language and Linguistics;New England;New York;Québec,Bibliographies
AFGS Library Holdings,"Catalog of books, CDs, microfilm/fiche, etc., contained in the library of the American-French Genealogical Society in Woonsocket, Rhode Island. This is the most recent version of the catalog (April 2007), but many libraries also have earlier versions (January 2000, April 2003, or August 2004, to name a few).","Burkhart, Janice",,,2007,,,,,,Bibliography,"<a href=""http://www.worldcat.org/oclc/319812843"">319812843</a>","Woonsocket, Rhode Island",,,,,,,,,,,481,"Woonsocket, Rhode Island",American-French Genealogical Society,,,,,"<div class=""element-text""><a href=""http://www.afgs.org/"">http://www.afgs.org/</a></div>;<div class=""element-text""><a href=""http://books.google.com/books?id=H3tuMwAACAAJ&amp;dq=editions:H3tuMwAACAAJ&amp;hl=en&amp;ei=wukATYL3AYGB8gbR3qDqBw&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CCMQ6AEwAA"">AFGS Library Holdings (2003 ed.) @ Google Books</a></div>",,,,,,Bibliography;Community: Customs and Social Life;Genealogy;Woonsocket RI,Bibliographies
"A Selective and Thematic Checklist of Publications Relating to Franco-Americans: Ethnic Heritage Studies Program of Rhode Island, Appendices F and G","Republished as article in Contemporary French Civilization, Volume 2, Number 3, Spring 1978.  From ERIC: ""An annotated bibliography of publications relating to Franco-Americans is presented. The publication was designed for secondary school teachers of French or social studies who wish to know more about Franco Americans before initiating mini-courses on this ethnic group. Journal articles, books, and papers presented at professional meetings are included. Most of the items deal with the French in New England, but a few entries concern the French presence in other parts of  the United States. In addition to reference works and bibliographies, the following topics are covered: culture, education, history, linguistics, poetry, prose fiction, mother-country materials, religion, and sociology. A partial listing of research projects completed at Rhode Island College and a brief list of periodicals are appended.""","Chartier, Armand B.",,,1975,,,,,,Bibliography,"<a href=""http://www.eric.ed.gov:80/ERICWebPortal/detail?accno=ED188491"">ED188491</a>",,,,,,,,,,,,,"Providence, Rhode Island",National Materials Development Center (NMDC),,,,,"<div class=""element-text""><a href=""http://www.eric.ed.gov:80/ERICWebPortal/detail?accno=ED188491"">http://www.eric.ed.gov:80/ERICWebPortal/detail?accno=ED188491</a></div>",,,,,,Bibliography;Education;Ethnicity and Collective Identity;New England;Rhode Island;United States,Bibliographies
"A Resource Guide for New England Libraries : Bilingual/Bicultural Education, Franco-American Studies","Phyllis Hagel, author of books used in the classroom for language learning, has developed an index and bibliography for resources helpful to bilingual educators and those interested in Franco American studies.","Hagel, Phyllis",,,1976,,,,,,Bibliography,"<a href=""http://www.worldcat.org/oclc/6396225"">6396225</a>",,,,,,,,,,,,45,"Fall River, Massachusetts",National Assessment and Dissemination Center (NADC),,,,,"<div class=""element-text""><a href=""http://books.google.com/books?id=VyzcGwAACAAJ&amp;dq=hagel%3B+a+resource+guide+for+new+england+libraries&amp;hl=en&amp;ei=e77aTLv9Osmr8Ab8scGHDA&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CC0Q6AEwAA"">A Resource Guide for New England Libraries @ Google Books</a></div>",,,,,https://francolibrary.com/archive/files/e54bff25905f86cc5679160adae752bb.jpg,Bibliography;Education;Ethnicity and Collective Identity;Language and Linguistics;New England,Bibliographies
Francoamerican Cultural Identity: A Resource Guide,"Compilation of information on resources, repositories, references, and research tools available for the study of Franco American history and cultural identity in New England. Lists specific archival collections and their locations; library collections of current materials; French-English bilingual education programs and resources across the United States.","Hickey, John",,,1976,,,,,,Bibliography,"<a href=""http://www.worldcat.org/oclc/3269655"">3269655</a>",1976; New England,,,,,,,,,,,18,"Ithaca, New York",Self-published,,,,,"<div class=""element-text""><a href=""http://books.google.com/books?id=DeCIGwAACAAJ&amp;dq=hickey%3B+francoamerican+cultural&amp;hl=en&amp;ei=HEdpTOGPJIL68AaN3e22BA&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CC4Q6AEwAA"">Francoamerican Cultural Identity @ Google Books</a></div>",,,,,,Bibliography;Connecticut;Education;Louisiana;Maine;Massachusetts;New England;New Hampshire;Rhode Island;Vermont,Bibliographies
Franco-American Studies: A Resource Guide,"What the author calls ""an annotated bibliography of materials about Franco-Americans and French Canada which are available in the greater Waterville (Maine) area."" She writes: ""In this bibliography an attempt has been made to take advantage of previously available bibliographical materials while at the same time adding all other items of which [we] have first-hand knowledge, with annotative commentary for everything.""","Kempers, Anne",,,1980,,,,,,Bibliography,"<a href=""http://www.worldcat.org/oclc/8384190"">8384190</a>",,,,,,,,,,,,55,"Orono, Maine",University of Maine at Orono,,,,,"<div class=""element-text""><a href=""http://books.google.com/books?id=cU67HAAACAAJ&amp;dq=kempers%3B+franco-american+studies&amp;hl=en&amp;ei=OLzaTKG1G8G78gb5t-n3CQ&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CCsQ6AEwAA"">Franco-American Studies: A Resource Guide @ Google Books</a></div>",,,,,,Bibliography;Education;New England;Québec;Waterville ME,Bibliographies
Franco-American Health-Related Bibliography,"Bibliography of books and articles related to the health and wellness of Franco-Americans and people of French-Canadian descent. From the foreword: ""The following bibliography hopes to unite health-care providers with the growing body of knowledge focusing on the interdependence of culture, society and medicine. As is true with all bibliographies, this is not an exhaustive list of all resources available. It is the result of a combination of other bibliographies and databases for the specific purpose of creating a Franco-American health-related bibliography....""","Kovacich, Joann",,,1989,,en,,,,Bibliography,"<a href=""http://www.worldcat.org/oclc/20583625"">20583625</a>",,,,,,,,,,,,57,"Orono, Maine","Katahdin Area Health Education Center, University of Maine",,,,,"<div class=""element-text""><a href=""http://books.google.com/books?id=s8pDHQAACAAJ&amp;dq=franco-american+health-related+bibliography&amp;hl=en&amp;ei=yUtpTIDbIMT58Ab5jrHaBA&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CDYQ6AEwAA"">Franco-American Health-Related Bibliography @ Google Books</a></div>",,,,,,Ethnicity and Collective Identity;Family;Illness;New England;Nonfiction;Nonfiction -- Science and Medicine,Bibliographies
