title,description,creator,source,publisher,date,contributor,language,rights,relation,format,type1,identifier,coverage,zotero_genre,zotero_distributor,zotero_director,z_performer,zotero_episode_number,zotero_language,zotero_network,zotero_audio_recording_format,zotero_label,zotero_running_time,zotero_num_pages,zotero_place,zotero_publisher,zotero_issn,zotero_isbn,zotero_issue,zotero_publication_title,z_url,zotero_volume,zotero_short_title,z_ref,type2,files,tags,collection
"""Wednesday's Child"" : Excerpts","Some selections from Waterville, Maine, native Rhea Coêté Robbins's memoir, ""Wednesday's Child.""","Robbins, Rhea Coêté",,,2002-spr/sum,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/60628349"">60628349</a>","1950-2000; Waterville, Maine",,,,,,,,,,,,,,,,,Québec Studies,"<div class=""element-text""><a href=""http://www.acqs.org/qc_studies_journal/table_of_contents.html"">http://www.acqs.org/qc_studies_journal/table_of_contents.html</a></div>",33,,,,,Ethnicity and Collective Identity;Fiction and Literature;Language and Linguistics;Personal History: Biography and Oral History;Waterville ME,Biographies & Autobiographies
Among My Souvenirs,"Memoirs of a priest from the St. John River Valley, Maine and New Brunswick, who was born in the first decade of the 20th century and spent most of his late life preaching in the Roman Catholic parishes of northern Maine. ","Marquis, Fr. Alphie",Read: FULL TEXT,Self-published,1980,,English,,,,Book,"<a href=""http://www.worldcat.org/oclc/22467565"">22467565</a>","20th century; St. John River Valley, Maine, New Brunswick",,,,,,,,,,,92,,,,,,,"<div class=""element-text""><a href=""http://books.google.com/books?id=I9_4QwAACAAJ&amp;dq=marquis%3B+among+my+souvenirs&amp;hl=en&amp;ei=DK_FTNKcEcP38AbY7Kj-BQ&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CC8Q6AEwAA"">http://books.google.com/books?id=I9_4QwAACAAJ&amp;dq=marquis%3B+among+my+souvenirs&amp;hl=en&amp;ei=DK_FTNKcEcP38AbY7Kj-BQ&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CC8Q6AEwAA</a></div>",,,,,,Alberta;Allagash ME;Baker Lake ME;Bangor ME;Calais ME;Chisholm ME;Community: Customs and Social Life;Ellsworth ME;Emigration and Immigration;Exploration and Colonization;Family;Farming and Agriculture;Fort Fairfield ME;Fort Kent ME;Frenchville ME;Grand Isle ME;Greenville ME;Limestone ME;Lincoln ME;Livermore ME;Madawaska ME;Maine;Michigan;Millinocket ME;Minnesota;Native Americans;New Brunswick;North Dakota;Oquossoc ME;Orono ME;Personal History: Biography and Oral History;Presque Isle ME;Québec;Rangeley ME;Religion;Rockwood ME;Rumford ME;Saskatchewan;St. Francis ME;St. Lawrence River Valley;St. Zacharie ME;Stratton ME;Wallagrass ME;Youth,Biographies & Autobiographies
The Girl from Peyton Place: A Biography of Grace Metalious,"A biography of the New Hampshire author, Grace Metalious, whose works include ""Peyton Place,"" ""The Tight White Collar,"" and ""No Adam in Eden."" 
","Metalious, George;O'Shea, June",,Dell Publishing,1965,,English,,,,Book,"<a href=""http://www.worldcat.org/oclc/5315878"">5315878</a>",,,,,,,,,,,,189,"New York, New York",,,,,,"<div class=""element-text""><a href=""http://books.google.com/books?id=mmnXPwAACAAJ&amp;dq=the+girl+from+peyton+place%3B+metalious&amp;cd=5"">http://books.google.com/books?id=mmnXPwAACAAJ&amp;dq=the+girl+from+peyton+place%3B+metalious&amp;cd=5</a></div>",,,,,,Alcohol and Drugs;Ethnicity and Collective Identity;Fiction and Literature;Gender and Sexuality;Literary Works -- Criticism and History;New Hampshire;Personal History: Biography and Oral History,Biographies & Autobiographies
A Place Called Spruce Knoll,"A book of short, autobiographical stories from a native of Old Town, Maine, and a resident of Gouldsboro. The subjects of her stories take a lot of their value from the author's longtime and current home, ""Spruce Knoll."" Paradis King is also the author of the memoir, ""Growing Up On Academy Hill"" (2002). ","Paradis King, Annette",,Self-published,2010,,English,,,,Book,,"20th-21st centuries, Maine",,,,,,,,,,,96,"Gouldsboro, Maine",,,,,,"<div class=""element-text""><a href=""http://fanset8.blogspot.com/2010/07/place-called-spruce-knoll.html"">http://fanset8.blogspot.com/2010/07/place-called-spruce-knoll.html</a></div>",,,,,,Community: Customs and Social Life;Family;Gouldsboro ME;Personal History: Biography and Oral History,Biographies & Autobiographies
Growing Up On Academy Hill: Remembering My French-Canadian-American Papa,"Biography of a father from his daughter's point of view, set in the context of Old Town, Maine, in the first half of the 20th century. From the author: ""'Growing Up On Academy Hill' honors [King's] father who encouraged all six of his children to finish high school, a not-so-common achievement for those hard times. Recalling his ideology Annette wrote: 'My father was born with an inexhaustible desire to feel the earth passing through his fingers, to smell newly plowed fields warmed by sunlight. Every spring he pointed joyfully to new beginnings, and with enthusiasm taught us the basics of all beauty. From one corner of a small piece of land to the other, we observed as children, life through his eyes.' A brother's thoughts: 'We were not from a very touchy-feely"" kind of family. However, our parents were not unloving, it was simply an unspoken love that was shared. I never heard Papa say, ""I love you"" to my mother, my sisters, or me. I never saw Papa kiss Mama. Yet the feeling of love was pervasive when I was a child.'"" ","Paradis King, Annette",,Self-published,2002,,English,,,,Book,,"20th century, Old Town, Maine",,,,,,,,,,,104,"Gouldsboro, Maine",,,,,,,,,,,,Community: Customs and Social Life;Family;Gender and Sexuality;Labor History;Mills and Mill Work;New England;Old Town ME;Personal History: Biography and Oral History;Religion;Youth,Biographies & Autobiographies
American Ghosts,"A memoir from prose writer David Plante. An exploration of identity with respect to language, the power of Catholic traditions, and the pull of sex, moving with the author from his Providence, Rhode Island, hometown through Europe and back again. From Publishers Weekly:  ""Haunted by the visible and invisible spirits of his life, Plante embarks on a remarkable journey of self-discovery. Traveling through a past littered with the ghosts of his ethnic lineage (French Canadian), his family heritage, his sexuality and his writing life, he searches to make sense of his spiritual longings and his physical desires.""","Plante, David",,Beacon Press,2005,,English,,,,Book,"<a href=""http://www.worldcat.org/oclc/55131479"">55131479</a>",,,,,,,,,,,,288,"Boston, Massachusetts",,,,,,"<div class=""element-text""><a href=""http://www.beacon.org/productdetails.cfm?PC=1800"">http://www.beacon.org/productdetails.cfm?PC=1800</a> <br/><br/> <a href=""http://books.google.com/books?id=HeplAAAAMAAJ&amp;q=david+plante+american+ghosts&amp;dq=david+plante+american+ghosts&amp;hl=en&amp;ei=P409Te7PFYLQgAe4kv3sCA&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CDAQ6AEwAA"">American Ghosts @ Google Books</a></div>",,,,,https://francolibrary.com/archive/files/55fe8e932eaa6edb0a448b9613511b7b.jpg,Acculturation and Assimilation;Community: Customs and Social Life;Ethnicity and Collective Identity;Europe;Family;Fiction and Literature;Gender and Sexuality;Language and Linguistics;Personal History: Biography and Oral History;Providence RI;Religion;Youth,Biographies & Autobiographies
Wednesday's Child,"Memoir of a Franco-American woman who grew up ""down the Plains"" in Waterville, Maine. Winner of the 1997 Maine Chapbook Award. 
","Robbins, Rhea Côté",,Rheta Press,1997,,English,,,,Book,"<a href=""http://www.worldcat.org/oclc/42401388"">42401388</a>",,,,,,,,,,,,89,"Brewer, Maine",,,,,,"<div class=""element-text""><a href=""http://www.rhetapress.com/"">http://www.rhetapress.com/</a> <br/><br/> <a href=""http://books.google.com/books?id=WdoSBkk44d8C&amp;dq=robbins%3B+wednesday%27s+child&amp;source=gbs_navlinks_s"">Wednesday's Child @ Google Books</a> (limited preview available here)</div>",,,,,,Community: Customs and Social Life;Ethnicity and Collective Identity;Fiction and Literature;Gender and Sexuality;Kennebec River Valley;Language and Linguistics;Maine;Personal History: Biography and Oral History;Québec;Wallagrass ME;Waterville ME,Biographies & Autobiographies
Ten Going on Twelve,"Biography of a Franco-American girl growing up in Southern Maine at the beginning of the twentieth century. 
","Tetreau Brandt, Claire;McCune Irvine, Patricia",,iUniverse,2006,,English,,,,Book,"<a href=""http://www.worldcat.org/oclc/123028893'"">123028893</a>",,,,,,,,,,,,117,"Lincoln, Nebraska",,,9.7806E+12,,,"<div class=""element-text""><a href=""http://www.iuniverse.com/Bookstore/BookDetail.aspx?BookId=SKU-000085180"">http://www.iuniverse.com/Bookstore/BookDetail.aspx?BookId=SKU-000085180</a> <br/><br/> <a href=""http://books.google.com/books?id=uA91AAAACAAJ&amp;dq=brandt+%22ten+going+on+twelve%22&amp;hl=en&amp;ei=Im8iTJu4EMP38Abkp6G_BQ&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CCwQ6AEwAA"">Ten Going on Twelve @ Google Books</a></div>",,,,,,Biddeford ME;Death and Disaster;Family;Food;Labor History;Language and Linguistics;Mills and Mill Work;Phillipstown ME;Saco ME;Sanford ME;Youth,Biographies & Autobiographies
It Stops with Me : Memoir of a Canuck Girl,"From Touch Art Books: ""This story with its bold contrasts of good and bad, love and hate, inextricably connected, is situated in the context of the bigger history of French Canadian and Indian people amid mainstream American culture from the mid 1950s to the edge of the 21st century....Touchette&rsquo;s story is rooted deep in the past in her parents', grandparents', and great-grandparents' experiences. Rooted in a changing, dying culture, and a community with a complex history, her mixed heritage held good and bad. With coal black eyes, Indian hair, French language, and woman-centered culture, she inherited a legacy of oppression and denial overshadowed by the powerful influence of the Catholic Church. But Touchette chose a different legacy for her children and the seven generations to follow that connected her to 5000 years of Jewish traditions, and milleniums of Native American spirituality."" Also from Touch Art Books: ""A visionary American painter examines an eventful life that spans fifty years, several cultures -- French Canadian, Indian and Jewish, and diverse places -- from Wellesley College, New York's Lower East Side, and Soho, to Indian Country, Navajo Nation and Santa Fe, New Mexico. Stories of families -- their agony and blessings, shame and pride, destruction and creation -- with brilliant illustrations, demonstrate the depth and resiliency of the human spirit, and make the personal, universal. Original.""","Touchette, Charleen",,Touch Art Books,2004,,English,,,,Book,"<a href=""http://www.worldcat.org/oclc/56615738"">56615738</a>",,,,,,,,,,,,245,"Santa Fe, New Mexico",,,9.78097E+12,,,"<div class=""element-text""><a href=""http://www.members.authorsguild.net/touchart/index.htm"">http://www.members.authorsguild.net/touchart/index.htm</a> <br/><br/> <a href=""http://oneearthblog.blogspot.com"">Charleen Touchette's blog</a> <br/><br/> <a href=""http://books.google.com/books?id=m2yHPQAACAAJ&amp;dq=touchette%3B+it+stops+with+me&amp;hl=en&amp;ei=b-VrTILjOcL78Ab-5oWgCw&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CC8Q6AEwAA"">It Stops with Me... @ Google Books</a></div>",,,,,https://francolibrary.com/archive/files/ab3efdb65e88500ed458f85fde8ccaf3.jpg,Alcohol and Drugs;Art and Architecture;Death and Disaster;Ethnicity and Collective Identity;Family;Massachusetts;Native Americans;New Mexico;New York NY;Personal History: Biography and Oral History;Rhode Island;United States,Biographies & Autobiographies
Visions of Kerouac,"Biography of Jack Kerouac published in his hometown of Lowell, Massachusetts.  
","Jarvis, Charles E.",,Ithaca Press,1973,,English,,,,Book,"<a href=""http://www.worldcat.org/oclc/2737349"">2737349</a>","20th century, United States",,,,,,,,,,,235,"Lowell, Massachusetts",,,9.78092E+12,,,"<div class=""element-text""><a href=""http://books.google.com/books?id=Vc-vAAAAIAAJ&amp;q=jarvis%3B+visions+of+kerouac&amp;dq=jarvis%3B+visions+of+kerouac&amp;hl=en&amp;ei=iHZQTIGkOsP98Abypr3nDQ&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CCsQ6AEwAA"">Visions of Kerouac @ Google Books</a></div>",,,,,,Alcohol and Drugs;Community: Customs and Social Life;Criticism and Review;Denver CO;Education;Lowell MA;Mexico;New York NY;Personal History: Biography and Oral History;Poetry;Religion;San Francisco CA;Social History;Sports and Leisure;St. Petersburg FL;Travel and Movement,Biographies & Autobiographies
