title,description,creator,source,publisher,date,contributor,language,rights,relation,format,type1,identifier,coverage,zotero_genre,zotero_distributor,zotero_director,z_performer,zotero_episode_number,zotero_language,zotero_network,zotero_audio_recording_format,zotero_label,zotero_running_time,zotero_num_pages,zotero_place,zotero_publisher,zotero_issn,zotero_isbn,zotero_issue,zotero_publication_title,z_url,zotero_volume,zotero_short_title,z_ref,type2,files,tags,collection
"De l'Ile à  la Tortue, à  la Nouvelle France, à  la Nouvelle-Angleterre : lutte pour une identité vivable","Une table ronde sur la présence franco-américaine dans l'état du Maine, et les efforts culturels mise en place là  par des gens qui sont associés avec le Centre franco-américan de l'Université du Maine. Des profils personnels, historiques, littéraire, communautaire, et de la politique. En vedette dans les Actes de Colloque international de la francophonie tenu à  Angers de 26 au 29 mai, 1994, et organisé conjointement par les Universités d'Angers (France) de Laval (Québec) et de Massachusetts, Lowell (USA). Un grand ensemble de presentations du colloque, et des papiers presentés là .","Cantara, Michael;Labbé, Yvon A.;Lévesque, Jean-Pierre;Paradis, Judy;Robbins, Rhea Côté",,Presses de l'Université d'Angers,1996,"Pelletier, Raymond",Français,,,,Book,"<a href=""http://www.worldcat.org/oclc/34983269"">34983269</a>",20e siiècle; Maine,,,,,,,,,,,647,"Angers, France",Presses de l'Université d'Angers,,2903075646,,L'ouest français et la francophonie nord-américaine,"<div class=""element-text""><a href=""http://books.google.com/books?id=6-V1AAAAMAAJ"">L'ouest français... sur Google Books</a></div>",,,,,,Biddeford ME;Ethnicity and Collective Identity;French Island ME;Government and Politics;Language and Linguistics;Maine;Old Town ME;Orono ME;Saint John River Valley;Waterville ME,Conference Proceedings and Papers | Actes et documents de conférence
The Northeastern Borderlands: Four Centuries of Interaction,,"Hornsby, Stephen;Konrad, Victor A. ;Herlan, James J. ",,"Canadian-American Center, University of Maine; Acadiensis Press",1989,,English,,,,Book,,,,,,,,English,,,,,160,"Fredericton, New Brunswick","Canadian-American Center, University of Maine; Acadiensis Press",,9.78092E+12,,,,,The Northeastern Borderlands,,,,Boston MA;Brunswick ME;Education;Geography;Government and Politics;Great Britain;Massachusetts;Montréal QC;Native Americans;New Brunswick;New England;Nova Scotia;Orono ME;Prince Edward Island;Québec,Conference Proceedings and Papers | Actes et documents de conférence
"The French in New England, Acadia, and Quebec : Proceedings of a Conference sponsored by the New England-Atlantic Provinces-Quebec Center at the University of Maine, Orono, May 1 and 2, 1972.","Proceedings of a 1972 conference at the University of Maine on the subject of French culture in the northeastern borderlands of Maine and Canada. Contents include transcripts of the following presentations: ""The Loyalists and the Acadians"" ""Le Centre d'Etudes Acadiennes de l'Universite de Moncton"" ""Acadian Research and the Public Archives of Canada"" ""Acadian Research in New England Archives and Libraries: A Student Viewpoint - the 17th Century"" ""Acadian Research in New England Archives and Libraries: A Student Viewpoint - the Acadians in Massachusetts"" ""The French Fact in the Atlantic Area"" ""The French Migration from Quebec to New England"" ""Quebec Society and the American Proximity in the Twentieth Century"" ""Oral Tradition: New England and French Canada"" ""Massachusetts American and Canadian French Exchange Commission"" ""The Franco-American Institute - Saint Francis College, Biddeford, Maine"" ""Franco-American Student Affairs at the University of Maine at Orono"" ""The Franco-American To-day: The St. John Valley"" ""Bilingual Education Programs""","Schriver, Edward (editor)",,"NEAPQ Center, University of Maine at Orono",1973,"Bélanger-Violette, Marcella
;Boucher, Ronald
;Chiasson, Fr. Anselme;Comeau, Roger;d'Entrement, Fr. Clarence 
;Daigle, Jean
;Dugas, Donald
;Labbe, Yvon;Lacourciière, Luc;Landry, Fr. Thomas
;Moisan, Donald;Poissant, Herve J.;Robichaud, Louis J.;Roy, Jean-Louis;Wade, Mason
",English,,,,Book,"<a href=""http://www.worldcat.org/oclc/3187379"">3187379</a>","1972, New England, Atlantic Provinces, Quebec",,,,,,,,,,,142,"Orono, Maine","NEAPQ Center, University of Maine at Orono",,,,,"<div class=""element-text""><a href=""http://books.google.com/books?id=5JElAAAAMAAJ&amp;q=the+french+in+new+england,+acadia,+and+quebec&amp;dq=the+french+in+new+england,+acadia,+and+quebec&amp;hl=en&amp;ei=_30jTK_RFIKB8gb_v7G_BQ&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CDIQ6AEwAA"">The French in New England... @ Google Books</a></div>",,,,,,Acadians;Biddeford ME;Business and Economics;Education;Emigration and Immigration;Ethnicity and Collective Identity;Folklore;Government and Politics;Massachusetts;New Brunswick;New England;Orono ME;Personal History: Biography and Oral History;Québec;St. John River Valley,Conference Proceedings and Papers | Actes et documents de conférence
Les Franco-Américains : La promesse du passé et les réalités du présent,"Une collection de papiers d'un colloque NADC dans la Nouvelle-Angeleterre, 1976. La poièsie, des essayes sur l'ethnicité et la culture, des histoires, des piièces dramatiques, aussi que des pensées sur la langue et la futur francophone aux États-Unis.",National Materials Development Center,Lire: TEXTE INTEGRAL,National Assessment and Dissemination Center,1976,,Français,,,,Book,"<a href=""http://www.worldcat.org/oclc/301749086"">301749086</a>",20e siiècle; États-Unis,,,,,,,,,,,177,"Bedford, New Hampshire",National Assessment and Dissemination Center,,,,,"<div class=""element-text""><a href=""http://books.google.com/books?id=cXdLGQAACAAJ&amp;dq=les+franco-americains:+la+promesse+du+passe&amp;cd=2"">Les Franco-Américains... sur Google Books</a></div>",,,,,https://francolibrary.com/archive/files/e08b609ac9d9a727cd1940eaee2d31f1.jpg;https://francolibrary.com/archive/files/261cc524fee9871f9c141f7e5cb534db.pdf,Acculturation and Assimilation;Community: Customs and Social Life;Education;Essay;Ethnicity and Collective Identity;Language and Linguistics;New England;Performing Arts;Poetry;Québec;United States,Conference Proceedings and Papers | Actes et documents de conférence
Research Relevant to the Development of Bilingual Curricula,"1967 report on research in the fields of socio- and psycholinguistics. Incorporates data on a study of French Canadian French/English bilingualism in different contexts. Presented at the Annual Conference of Foreign Language Teachers, El Paso, Texas (November 10-11, 1967).","Dugas, Donald G.",,,1967,,en,,,,Book,"<a href=""http://www.worldcat.org/oclc/424908495"">424908495</a>",1967; United States,,,,,,,,,,,7,,,,,,,"<div class=""element-text""><a href=""http://www.eric.ed.gov/PDFS/ED018298.pdf"">http://www.eric.ed.gov/PDFS/ED018298.pdf</a> (FULL TEXT)<br/></div>;<div class=""element-text""><a href=""books.google.com/books?id=Y67MmgEACAAJ"">Research relevant to the...</a> @ Google Books</div>",,,,,https://francolibrary.com/archive/files/4e409fc51f934b9e28981c3c283301ca.jpg,Education;Ethnicity and Collective Identity;Language and Linguistics;Nonfiction;Nonfiction -- Education;Nonfiction -- Language and Linguistics,Conference Proceedings and Papers | Actes et documents de conférence
Facilitating the Self-Actualization of Franco-Americans,"1971 paper presented at the fifth annual TESOL (Teaching English to Speakers of Other Languages) Meeting in New Orleans, Louisiana. Abstract from the text: ""Bilingual programs should focus on promoting psychosocial growth rather than language growth. Risk taking, change, and creativity should characterize the approach to bilingual education. Traditional ideas about language learning may not be suitable. It is not necessarily true that children cannot learn a second language unless it is taught to them. The behavioristic, audiolingual approach may not be the best for the bilingual child. Bilingual educators should not be overly concerned about the orthodoxy of their methods. The corrective approach to language teaching may not be the most appropriate one for the young bilingual child.  Promoting psychosocial growth involves educating teachers and generating community involvement. The students must be given the basic tools to manage their own growth in two languages at an early age.""","Dugas, Donald G.",Read: FULL TEXT,,1971,,English,,,,Book,"<a href=""http://www.worldcat.org/oclc/425621535"">425621535</a>",1970s; United States,,,,,,,,,,,17,,,,,,,"<div class=""element-text""><a href=""http://www.eric.ed.gov/PDFS/ED055482.pdf"">http://www.eric.ed.gov/PDFS/ED055482.pdf</a></div>",,,,,,Community: Customs and Social Life;Education;Language and Linguistics,Conference Proceedings and Papers | Actes et documents de conférence
"The Little Canadas of New England: Third Annual Conference of the French Institute/Assumption College (Worcester, Massachusetts, March 13, 1982)","A published collection of the papers presented at Assumption College's French Institute for its third annual academic conference. Dedicated to Thomas M. Landry, OP, who chose the topic of the conference which serves as the collection's title. Contains the following essays:  -""Geographic and Demographic Forces Facilitating Ethnic Survival in a New England Mill Town: The Franco-Americans of Biddeford Maine"" (Michael J. Guignard) -""The Settling-in Process: The Beginnings of Little Canada in Lowell Massachusetts in the Late Nineteenth Century"" (Frances H. Early), -""Neighbors from the North: French-Canadian Immigrants vs. Trade Unionism in Fall River, Massachusetts"" (Philip T. Silvia),  -""Culture, Community, and Politics: French Canadians in Massachusetts, 1885-1915"" (Ronald A. Petrin),  -""The Preservation of Ethnic Identity in the Franco-American Villages of Lincoln, Rhode Island"" (Peter L. Moreau),  -""Beyond Textiles: Industrial Diversity and the Franco-American Experience in Worcester, Massachusetts"" (Charles W. Estus and Kenneth J. Moynihan)","Quintal, Claire (editor)",,French Institute/Assumption College,1983,,English,,,,Book,"<a href=""http://www.worldcat.org/oclc/9977876"">9977876</a>","1830-1980, New England",,,,,,,,,,,119,"Worcester, Massachusetts","Institut français, Assumption College",,,,,"<div class=""element-text""><a href=""http://books.google.com/books?id=MX2GGAAACAAJ&amp;dq=the+little+canadas+of+new+england&amp;hl=en&amp;ei=xlFITIyfFcL98AaxwtSEDw&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CDIQ6AEwAA"">http://books.google.com/books?id=MX2GGAAACAAJ&amp;dq=the+little+canadas+of+new+england&amp;hl=en&amp;ei=xlFITIyfFcL98AaxwtSEDw&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CDIQ6AEwAA</a></div>",,,,,,Albion RI;Biddeford ME;Blackstone River Valley;Central Falls RI;Community: Customs and Social Life;Connecticut River Valley;Demography;Emigration and Immigration;Ethnicity and Collective Identity;Fall River MA;Fitchburg MA;Hopeville MA;Jamesville MA;Labor History;Limerock RI;Lincoln RI;Lonsdale RI;Lowell MA;Maine;Manville RI;Massachusetts;Merrimack River Valley;New England;New Hampshire;New Worcester MA;North Adams MA;Providence RI;Québec;Quinebaug River Valley;Religion;Rhode Island;Salem MA;Saylesville RI;South Worcester MA;Southbridge MA;Spencer MA;Trowbridgeville MA;Valley Falls MA;Ware MA;Worcester MA,Conference Proceedings and Papers | Actes et documents de conférence
Les conférences de l'Institut franco-américain de Bowdoin College,"Une collection d'essaies sur le sujet de la vie franco-américaine dans la Nouvelle-Angleterre. Compilée des présentations de quelques conférences academiques de Bowdoin College, Brunswick, Maine. Avec les écrits qui suivent:  ""L'Institut Franco-Américain de Bowdoin College"" - Gerard-J. Brault  ""Attitudes des Franco-Américains en politique"" - Josaphat-T. Benoit  ""Le Laboratoire linguistique - actif et passif"" - Edward-B. Ham  ""Aspects psychologiques de l'étude d'une deuxiième langue"" - Wallace-E. Lambert  ""Les Franco-Américains de Fall River"" - Herve-B. Lemaire  ""Peut-on enseigner le francais par la télévision?"" - William-N. Locke  ""La Poésie francaise de Nouvelle-Angleterre"" - Soeur Marie-Carmel Therriault  ""La Politique présidentielle des Franco-Américains: quelques observations sommaires"" - David-B. Walker","Brault, Gerard J. (rédacteur)",,l'Institut franco-américain de Bowdoin College,1961,"Benoit, Josaphat T. ;Ham, Edward B. ;Lambert, Wallace E. ;Locke, William N. ;Therriault, Sr. Marie-Carmel ;Walker, David B. ",Français and English,,,,Book,"<a href=""http://www.worldcat.org/oclc/4591169"">4591169</a>","19e et 20e siiècle, Nouvelle-Angleterre",,,,,,,,,,,72,"Brunswick, Maine",,,,,,"<div class=""element-text""><a href=""http://onlinebooks.library.upenn.edu/webbin/book/lookupname?key=Bowdoin%20College.%20Institut%20franco-am%26eacute%3Bricain"">Les confeÌrences @ UPenn Online Books</a> <br/><br/> <a href=""http://babel.hathitrust.org/cgi/pt?id=mdp.39015022632213"">Les confeÌrences @ Hathitrust</a> (le texte en plein)</div>",,,,,https://francolibrary.com/archive/files/969ca979fb3179bd05554d9275255a23.jpg,Bibliography;Brunswick ME;Canada;Education;Essay;Ethnicity and Collective Identity;Fall River MA;Government and Politics;Language and Linguistics;Lewiston ME;Manchester NH;Massachusetts;Montréal QC;Nashua NH;New England;Poetry;Québec;Religion;Rhode Island;Woonsocket RI,Conference Proceedings and Papers | Actes et documents de conférence
The Quebec and Acadian Diaspora in North America,"A conference publication consisting of a collection of essays on the titled topic. Contains the following written pieces by their respective authors: ""The Acadians: a People in Search of a Country"" by Jean Daigle, ""Emigration and Colonization: Twin Themes in 19th-Century French Canadian Literature"" by David M. Hayne ""The Rise and Fall of Felix Albert: Some Reflections on the Aspirations of Habitant Immigrants to Lowell, Massachusetts in the Late Nineteenth Century"" by Frances Early ""Language and Ethnic Identity in South Louisiana: Implications of Data from Mamou Prairie"" by Gerald L. Gold ""The Franco-Americans: Occupational Profiles"" by Madeleine Giguere ""Franco-Americans and Ethnic Studies: Notes on a Mill Town"" by Robert F. Harney ""The Decline of French as Home Language in the Quebec and Acadian Diaspora of Canada and the United States"" by Charles Castonguay ""'L'Affaire Forest': Franco-Manitobans in Search of Cultural and Liinguistic Duality"" by Gilbert-L. Comeault ""Le Patriote de l'Ouest and French Settlement on the Prairies, 1910-1930"" by Andre N. Lalonde ""Spatial Patterns in Franco-Ontarian Communities"" by Donald Cartwright ""The Role of the Church in French Ontario"" by Robert Choquette ""The Franco-Ontarian Collectivity: Material and Symbolic Dimensions of its Minority Status"" by Danielle Juteau-Lee ""The Franco-Ontarian Experience"" by Gaetan Vallieres","Breton, Raymond (editor);Savard, Pierre (editor)",,Multicultural History Society of Ontario,1982,"Daigle, Jean;Hayne, David M.;Early, Frances;Gold, Gerald L.;Giguere, Madeleine;Harney, Robert F.;Castonguay, Charles;Comeault, Gilbert-L.;Lalonde, Andre N.;Cartwright, Donald;Choquette, Robert;Juteau-Lee, Danielle;Vallieres, Gaetan",English,,,,Book,"<a href=""http://www.worldcat.org/oclc/36283800"">36283800</a>","17th century - 20th century, North America",,,,,,,,,,,199,"Toronto, Ontario",,,9.78092E+12,,,"<div class=""element-text""><a href=""http://www.ourroots.ca/toc.aspx?id=9195&amp;qryID=5711c0cc-2217-46bc-9218-a9c6e8ba3d0a"">http://www.ourroots.ca/toc.aspx?id=9195&amp;qryID=5711c0cc-2217-46bc-9218-a9c6e8ba3d0a</a> (full text available here) <br/><br/> <a href=""http://books.google.com/books?id=KBQVAAAAYAAJ&amp;q=breton+the+quebec+and+acadian+diaspora&amp;dq=breton+the+quebec+and+acadian+diaspora&amp;hl=en&amp;ei=xfl4Ta_2LqTi0gGtvYHwAw&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CCkQ6AEwAA"">The Quebec and Acadian Diaspora @ Google Books</a></div>",,,,,https://francolibrary.com/archive/files/7201b28192bf336cd1b37d5e73f63145.jpg,Acadians;Acculturation and Assimilation;Creoles;Emigration and Immigration;Essay;Ethnicity and Collective Identity;Exploration and Colonization;Fiction and Literature;Labor History;Language and Linguistics;Louisiana;Lowell MA;Manitoba;Mills and Mill Work;Montréal QC;New Brunswick;Nova Scotia;Ontario;Québec;Religion;Social History;Travel and Movement;United States,Conference Proceedings and Papers | Actes et documents de conférence
Franco-American Language Maintenance Efforts in New England : Realities and Issues,"Essay describing the sociology and psychology of Franco Americans in New England as conditions tied to their history in North America. How French language maintenance efforts are involved in articulating and uncomplicating these conditions. The state of different 1970s media (classroom programming, print, radio, television, etc.) by which the French language has been made available in New England. Some thoughts on the state of Franco American culture - popular interest, support, vitality. Featured in a collection of papers from a 1974 Indiana University conference on the Francophones of the Americas. Complete title of the text includes the following: ""Actes ducolloque tenu aè l'Université d'Indiana, Bloomington, du 28 au 30 mars 1974.""","Dugas, Donald G.",,Presses de l'Université Laval,1976 (date of publication),,en,,,,Book Section,"<a href=""http://www.worldcat.org/oclc/3732360"">3732360</a>",1970s; New England,,,,,,English (other essays featured in the collection are in English et français),,,,,,"Québec, Canada",,,077465794LX,,,"<div class=""element-text""><a href=""http://books.google.com/books?id=op_7PgAACAAJ&amp;dq=snyder;+identite&amp;hl=en&amp;ei=eBmvTbioDYndgQfhnrSRDA&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CCgQ6AEwAA"">IdentiteÌ culturelle et francophonie dans les AmeÌriques sur Google Books</a></div>",,,,,https://francolibrary.com/archive/files/3f5074a99bd696311465e3bdde4cea62.jpg,Caribou ME;Community: Customs and Social Life;Connecticut;Demography;Derby VT;Education;Ethnicity and Collective Identity;Frenchville ME;Greenville NH;Journalism;Language and Linguistics;Lewiston ME;Maine;Massachusetts;New England;New Hampshire;Nonfiction;Nonfiction -- Language and Linguistics;Orono ME;Québec;Religion;Rhode Island;St. Agatha ME;St. John River Valley;Vermont,Conference Proceedings and Papers | Actes et documents de conférence
