title,description,creator,source,publisher,date,contributor,language,rights,relation,format,type1,identifier,coverage,zotero_genre,zotero_distributor,zotero_director,z_performer,zotero_episode_number,zotero_language,zotero_network,zotero_audio_recording_format,zotero_label,zotero_running_time,zotero_num_pages,zotero_place,zotero_publisher,zotero_issn,zotero_isbn,zotero_issue,zotero_publication_title,z_url,zotero_volume,zotero_short_title,z_ref,type2,files,tags,collection
"Nos Histoires de l'Ile : livre de cuisine : A Collection of Recipes from French Island in Old Town, Maine","A cookbook from the ""Nos Histoires de l'Ile"" group, with local and family recipes from the homes of French Island in Old Town, Maine. Compiled by the community group that provides us with the French Island history book of the same title.",Nos Histoires de l'Ile,,Les Éditions FAROG,2005,,English,,,,Book,"<a href=""http://www.worldcat.org/oclc/40721859"">40721859</a>","Old Town, Maine",,,,,,,,,,,78,"Orono, Maine",,,,,,"<div class=""element-text""><a href=""http://www.old-town.me.us/nos/default.htm"">http://www.old-town.me.us/nos/default.htm</a> <br/><br/> <a href=""http://books.google.com/books?id=ytVRGwAACAAJ&amp;dq=nos+histoires+de+l%27ile:+livre+de+cuisine&amp;hl=en&amp;ei=o-bGTNOrEMH-8Aaq6o3sDw&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CCsQ6AEwAA"">Nos Histoires de l'Ile : livre de cuisine @ Google Books</a></div>",,,,,https://francolibrary.com/archive/files/b8bac64f165b455c581e6c28c0b2ef3c.jpg,Food;French Island ME;Old Town ME,Cookbooks | Livres de cuisine
A French-Canadian Cookbook,Culturally specific cookbook from a Vermont writer. Franco American cuisine in French Canadian heritage.,"Asselin, E. Donald",,"C.E. Tuttle, Co.",1968,,English,,,,Book,"<a href=""http://www.worldcat.org/oclc/441804"">441804</a>",20th century; Vermont,,,,,,,,,,,149,"Rutland, Vermont","C.E. Tuttle, Co.",,,,,"<div class=""element-text""><a href=""http://books.google.com/books?id=WiH8pwAACAAJ&amp;dq=asselin;+a+french-canadian+cookbook&amp;hl=en&amp;sa=X&amp;ei=V1w-T9eFLsbe0QHnqPmnBw&amp;ved=0CEsQ6AEwAA"">A French-Canadian Cookbook @ Google Books</a></div>",,,,,,Food;New England;Vermont,Cookbooks | Livres de cuisine
"Recettes et remeèdes de nos grand-meères, vallée du Haut St-Jean",,"Lévesque, Aurore Nadeau",,Self-published,1984,,Français,,,,Book,,,,,,,,Français,,,,,147,"Madawaska, New Bruswick",Self-published,,9.78097E+12,,,"<div class=""element-text"">http://isbndb.com/d/book/recettes_et_remedes_de_nos_grand_meres_vallee_du_haut_st_jea.html</div>",,Recettes et remeèdes de nos grand-meères,,,,Death and Disaster;Folklore;Food;Madawaska ME;New Brunswick;St. John River Valley,Cookbooks | Livres de cuisine
Cooking Yankee with a French Accent,"Cookbook with 144 pages of recipes for snacks and meals. Includes both the popular surf dishes of southern Maine and some traditional Franco American selections, among others. In her introduction, long time Ogunquit chef Monique Belisle writes, ""when I retire, I'll write a cookbook. And now, I have."" ","Belisle, Monique",,Down East Books,1985,,English,,,,Book,"<a href=""http://www.worldcat.org/oclc/13196749"">13196749</a>",,,,,,,,,,,,144,"Camden, Maine",Down East Books,,9.78089E+12,,,"<div class=""element-text""><a href=""https://secure.downeast.com/store/home.php?cat=700"">https://secure.downeast.com/store/home.php?cat=700</a></div>;<div class=""element-text""><a href=""http://books.google.com/books?id=M4k-AQAACAAJ"">Cooking Yankee... @ Google Books</a></div>",,,,,https://francolibrary.com/archive/files/be70d6ac9107018ca4b97a55ff1f6388.jpg,Food;New England;Ogunquit ME,Cookbooks | Livres de cuisine
Je me souviens la cuisine de la grandmeère : Treasured Recipes,"Cookbook of traditional Franco-American recipes handed down through multiple generations of family cooks. A collective production of members and contributors to the American-French Genealogical Society of Woonsocket, Rhode Island. ",American French Genealogical Society,,,2001,"Bartholomy, Roger;Bartholomy, Sylvia;Riel, Alice",en,,,,Book,"<a href=""http://www.worldcat.org/oclc/460758691"">460758691</a>",2001; Rhode Island,,,,,,,,,,,243,"Pawtucket, Rhode Island",Quintin Publications,,,,,"<div class=""element-text""><a href=""http://www.afgs.org/afgscookbook.html"">http://www.afgs.org/afgscookbook.html</a> (index of recipes available here) <br/><br/> <a href=""http://books.google.com/books?id=MtdNGwAACAAJ&amp;dq=je+me+souviens%3B+duprey&amp;hl=en&amp;ei=meJSTJTrMYL_8AbHm9yrAw&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CCgQ6AEwAA"">http://books.google.com/books?id=MtdNGwAACAAJ&amp;dq=je+me+souviens%3B+duprey&amp;hl=en&amp;ei=meJSTJTrMYL_8AbHm9yrAw&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CCgQ6AEwAA</a></div>",,,,,https://francolibrary.com/archive/files/af35f82f171ed41d621cad54b97d3ab0.jpg,Food;Rhode Island,Cookbooks | Livres de cuisine
Rien n'était gaspillé dans la cuisine de ma grand-mière : Nothing Went to Waste in Grandmother's Kitchen,"Collection of recipes and folk remedies from the Lausier family of Grand Isle, Maine. Introduced with a brief history of the family and its kitchen habits. Illustrated in black and white photograph. Published in English and French versions. Revised edition published in 1983.","Lindsay, Betty A. Lausier",,National Materials Development Center,1981,"Lindsay, John (photographs);Bergeron, Ron (photographs);Doherty, Huguette (translation);Ste-Marie, Raymond (graphics);McGrath, Tracey (typography)",en/fr,,,,Book,"<a href=""http://www.worldcat.org/oclc/9759931"">9759931</a>","20th century; Grand Isle, Maine",,,,,,,,,,,75,"Durham, New Hampshire",National Materials Development Center,,0911409424,,,"<div class=""element-text""><a href=""books.google.com/books?id=pHoUAQAAMAAJ"">Nothing Went to Waste...</a> @ Google Books</div>",,,,,https://francolibrary.com/archive/files/8978d54f8f7e1a9ad7d12aec22ac207e.jpg,Acadians;Community: Customs and Social Life;Family;Food;Grand Isle ME,Cookbooks | Livres de cuisine
Treasured Family Recipes : Past and Present,"A cookbook both traditional and modern. A collection of recipes from three generations of French Canadian and Acadian cooks. Includes an introduction by the author. Written in Madawaska, Maine, and shared with the Upper St. John Valley. Printed by the fundraising publisher Morris Press, with a portion of cookbook sales dedicated to the Edgar J. (Guy) Paradis Cancer Fund.","Charette, Theresa ",,Morris Press Cookbooks,2005,,English,,,,Book,,,,,,,,,,,,,113,"Kearney, Nebraska",Morris Press Cookbooks,,,,,"<div class=""element-text""><a href=""http://www.morriscookbooks.com"">http://www.morriscookbooks.com</a></div>",,,,,https://francolibrary.com/archive/files/61c9b6f9b26966462b3b0756f83b84bf.jpg,Family;Food;Madawaska ME;Maine;St. John River Valley,Cookbooks | Livres de cuisine
Biographie d'une ploye,"Un petit historique de la ploye telle que racontée par lui-même. Une description de ses ingrédients, sa recette, comment c'est faite, et son importance pour la culture acadienne.","Soucy, Camille",,Editions Lavigne Ltée.,1988,,Français,,,,Book,"<a href=""http://www.worldcat.org/oclc/24218575"">24218575</a>","20e siiècle, Nouveau-Brunswick",,,,,,,,,,,15,"Edmundston, New Brunswick",,,0921548028,,,"<div class=""element-text""><a href=""http://books.google.com/books?id=1sVINwAACAAJ&amp;dq=biographie+d%27une+ploye&amp;hl=en&amp;ei=2SHUTYfoCIfHgAeUu_gt&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CDMQ6AEwAA"">Biographie d'une ploye sur Google Books</a></div>",,,,,https://francolibrary.com/archive/files/b9af0fb59b9fbba356a26e5fc4f9ae2e.jpg,Acadians;Canada;Community: Customs and Social Life;Food;New Brunswick,Cookbooks | Livres de cuisine
La Bonne Croûte...livre de recettes,"Une collection de recettes pour le pain, les viandes, le poisson, les ga?teaux, les tartes, et des plats d'autres aliments. Partage certains des remièdes ""folk"" aux divers maux, aussi qu'une recette de savon. Compilée à  partir de de recettes présentées par les membres de la communauté qui sont énumérés ici. Rédigé en anglais et en français.
","Robert, Hermanita;Moore, Roseline",,"Le Festival Franco-Américain, Inc.",1983,"Fagnant, Susan (illustrations);Angers, Jeanne;Baril, Simone;Barsalou, Gérard;Briket, Jeanine;Desrochers, Claire;Dupuis, Gertrude;Forbes, Ruth;Guillet, Ernest;Lapointe, Gaetane;Lapointe, Luce;Lariviière, Claire;Mercier, Jeannette Menard;Moore, Roseline Loiselle;Murray, Clarence E.;Potvin, Vivian;Robert, Aurore Labrie;Robert, Hermanie Côté;Rouleau, Claire;St. Pierre, Eugiène;Stanislas, Cécile;Thibault, Pearl;Walsh, Louise Pelletier",Bilingual/bilingue,,,,Book,,"1983, Massachusetts",,,,,,,,,,,134,"Chicopee-Holyoke, Massachusetts",,,,,,"<div class=""element-text"">Unknown/Inconnu</div>",,,,,https://francolibrary.com/archive/files/8ad84e16e8ba9f12b0652ae235dce546.jpg,Chicopee MA;Community: Customs and Social Life;Food;Holyoke MA;Massachusetts,Cookbooks | Livres de cuisine
"A Jewel in the Crown of Maine : The Farrell-Michaud House, Meals and Memories","Book of recipes for meals and dishes served at the Farrell-Michaud House bed-and-breakfast in Van Buren, Maine. Begins with stories and historical descriptions of the Farrell and Michaud families, as well as of the house itself and the cultures of the northern Maine region in which it sits.","Bouchard, Susan",,"Keepsake Enterprises, Ltd.",1998,"Gupton, Dianna G. (editor);La Pointe, Pete (cover photograph)",English et français,,,,Book,,"1800-1995, Van Buren, Maine",,,,,,,,,,,101,"Chattanooga, Tennessee","Keepsake Enterprises, Ltd.",,,,,,,,,,https://francolibrary.com/archive/files/a1bea1f527a6397134aa702f8ea8bc66.jpg,Aroostook County ME;Family;Food;Fort Kent ME;Maine;St. John River Valley;Van Buren ME,Cookbooks | Livres de cuisine
