title,description,creator,source,publisher,date,contributor,language,rights,relation,format,type1,identifier,coverage,zotero_genre,zotero_distributor,zotero_director,z_performer,zotero_episode_number,zotero_language,zotero_network,zotero_audio_recording_format,zotero_label,zotero_running_time,zotero_num_pages,zotero_place,zotero_publisher,zotero_issn,zotero_isbn,zotero_issue,zotero_publication_title,z_url,zotero_volume,zotero_short_title,z_ref,type2,files,tags,collection
"Franco Marriages from Goffstown, New Hampshire: 1893-1992","One hundred years of Catholic marriages from the Goffstown, New Hampshire, region. Includes marriages from St. Lawrence and St. Edmond parishes.","Boudreau, Arthur;Perrault, Anne-Marie;American-Canadian Genealogical Society",,,2000,,,,,,Book,"<a href=""http://www.worldcat.org/oclc/53813496"">53813496</a>","1893-1992, Goffstown, New Hampshire",,,,,,,,,,,276,"Manchester, New Hampshire",American-Canadian Genealogical Society,,,,,"<div class=""element-text""><a href=""http://www.acgs.org"">http://www.acgs.org</a></div>",,,,,,Community: Customs and Social Life;Family;Genealogy;Goffstown NH;Manchester NH;Religion,Genealogy | Généalogie
An Elaborate History and Genealogy of the Ballous in America,"Subtitled: ""Carefully Compiled and Edited by Adin Ballou; with Numerous Artistic Illustrations."" Massive family history of the Ballou family of Rhode Island. Written at the end of the 19th century.","Ballou, Adin",,,1888,,,,,,Genealogy,"<a href=""http://www.worldcat.org/oclc/44956605"">44956605</a>","1650-1888, Rhode Island",,,,,,,,,,,1323,"Providence, Rhode Island",Press of E.L. Freeman & Son,,,,,"<div class=""element-text""><a href=""http://books.google.com/books?id=csc6AAAAMAAJ&amp;printsec=frontcover&amp;dq=ballou,+adin%3B+an+elaborate+history&amp;hl=en&amp;ei=U2JETOPWGsG88gaire2bDw&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CCgQ6AEwAA#v=onepage&amp;q&amp;f=false"">An Elaborate History of the Ballous in America @ Google Books</a> (full text available)</div>",,,,,,Family;Genealogy;Personal History: Biography and Oral History;Providence RI;Rhode Island,Genealogy | Généalogie
Beginning Franco-American Genealogy,"First edition published in 1986. A guide to conducting one's own genealogy, with resources appropriate for those with Franco American and Canadian French ancestry.","Boudreau, Dennis M.",,,1993,,,,,,Genealogy,"<a href=""http://www.worldcat.org/oclc/33086650"">33086650</a>",,,,,,,,,,,,75,"Pawtucket, Rhode Island",American French Genealogical Society,,,,,"<div class=""element-text""><a href=""http://books.google.com/books?id=0P4_OwAACAAJ&amp;dq=beginning+franco-american+genealogy&amp;hl=en&amp;ei=1kJLTOmDLsP-8Aaeut0z&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CDIQ6AEwAA"">Beginning Franco-American Genealogy @ Google Books</a></div>",,,,,,Family;Genealogy;Rhode Island,Genealogy | Généalogie
"French and Native North American Marriages, 1600-1800",List of French (Canadian) and Native American Marriages from eastern North America. Respective sources are listed for each documented marriage.,"Bunnell, Paul",,,2004,,,,,,Genealogy,"<a href=""http://www.worldcat.org/oclc/58017168"">58017168</a>","1600-1800, Canada, United States",,,,,,,,,,,161,"Westminster, Maryland",Heritage Books,,9.78079E+12,,,"<div class=""element-text""><a href=""http://heritagebooks.com/mm5/merchant.mvc?Screen=PROD&amp;Store_Code=HBI&amp;Product_Code=B2595&amp;Category_Code="">http://heritagebooks.com/mm5/merchant.mvc?Screen=PROD&amp;Store_Code=HBI&amp;Product_Code=B2595&amp;Category_Code=</a> <br/> <br/> <a href=""http://books.google.com/books?id=raLuLe7M2TcC&amp;printsec=frontcover&amp;dq=bunnell,+french+and+native+north+american+marriages&amp;source=bl&amp;ots=v0XznOwOS7&amp;sig=Ye14YHTeB_vRHkdtVI2PrvEk9W0&amp;hl=en&amp;ei=UbEjTMzvCoO88ga55KC5BQ&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CBUQ6AEwAA#v=onepage&amp;q&amp;f=false"">French and Native North American Marriages @ Google Books</a> (limited preview)</div>",,,,,,Acadians;Canada;Ethnicity and Collective Identity;Genealogy;Native Americans;New England;United States,Genealogy | Généalogie
Histoire de ma famille,"A blank, illustrated text and family tree (with some commentary) to be filled-in with one's own genealogy.","Campagna, Dominique",,,1960,,,,,,Book,"<a href=""http://www.worldcat.org/oclc/3271013"">3271013</a>",,,,,,,,,,,,84,"Cap-Rouge, Québec",Self-published,,,,,"<div class=""element-text""><a href=""http://books.google.com/books?id=TicFHQAACAAJ&amp;dq=%22campagna%22%3B+histoire+de+ma+famille&amp;hl=en&amp;ei=rBFOTIvfJoH_8AaEhJX8Cw&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CCgQ6AEwAA"">Histoire de ma famille @ Google Books</a></div>",,,,,,Education;Genealogy;Youth,Genealogy | Généalogie
The First French Canadians: Pioneers in the St. Lawrence Valley,"From University of Delaware Press: ""This book is the culmination of an enormous project aimed at the identification of the original French migrants to Québec and their descendants in the form of a computerized population register.""","Charbonneau, Hubert;Desjardins, Bertrand;Guillemette, André;Landry, Yves;Légaré, Jacques;Nault, Francois",,,1993,,,,,,Genealogy,"<a href=""http://www.worldcat.org/oclc/27108728"">27108728</a>","1600s, France, Québec",,,,,,,,,,,252,"Cranbury, New Jersey",University of Delaware Press,,9.78087E+12,,,"<div class=""element-text""><a href=""http://www2.lib.udel.edu/udpress/ftitles.htm#0-87413-454-4"">http://www2.lib.udel.edu/udpress/ftitles.htm#0-87413-454-4</a> <br/> <br/> <a href=""http://www2.lib.udel.edu/udpress/ftitles.htm#0-87413-454-4"">The First French Canadians @ Google Books</a> (limited preview available)</div>",,,,,,Community: Customs and Social Life;Demography;Emigration and Immigration;Ethnicity and Collective Identity;France;Genealogy;Geography;Government and Politics;Montréal QC;Québec;St. Lawrence River Valley,Genealogy | Généalogie
"Marriages of St. Joseph's Catholic Church, Old Town, Maine (1860-1960): Including 1836-1892 Franco-American marriages recorded in the civil registers of Bangor, Bradley, Brewer, Old Town, and Orono","A list of marriages from 1836 to 1892, a list of priests, marriages, and marriage extracts from 1862 to 1960, a necrology from 1880-1946, a list of Anglicized French surnames in the Old Town area, and a list of the earliest French-Canadian families in Old Town.","Chenard, Robert",,,1993,,,,,,Genealogy,"<a href=""http://www.worldcat.org/oclc/28773463"">28773463</a>","1836-1960, Bangor, Bradley, Brewer, Old Town, Orono, Maine",,,,,,,,,,,308,"Waterville, Maine",Self-published,,,,,"<div class=""element-text""><a href=""http://books.google.com/books?id=mmelHAAACAAJ&amp;dq=chenard,+marriages+of+st.+joseph%27s+catholic+church,+old+town,+me&amp;hl=en&amp;ei=FU8iTKuEBsL-8Ab4hcydDg&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CDAQ6AEwAA"">Marriages of St. Joseph's Catholic Church, Old Town, Maine @ Google Books</a></div>",,,,,,Acculturation and Assimilation;Bangor ME;Bradley ME;Brewer ME;Genealogy;Language and Linguistics;Old Town ME;Orono ME;Religion,Genealogy | Généalogie
"Mariages de Sainte-Rosaire de Rochester, NH, 1883-1976","Un répertoire (des noms familles) des mariages performé  dans la paroisse catholique de Sainte-Rosaire de Rochester, New Hampshire. Un de beaucoup de livres généalogiques franco-américains écrits par Croteau.","Croteau, Fr. Fernand",,,1977,,,,,,Genealogy,"<a href=""http://www.worldcat.org/oclc/402485530"">402485530</a>","1883-1976, Rochester, New Hampshire",,,,,,,,,,,155,,Self-published,,,,,"<div class=""element-text""><a href=""http://www.acgs.org/research/online-catalog.html"">http://www.acgs.org/research/online-catalog.html</a><br/><br/><a href=""http://books.google.com/books?id=3Iw0QwAACAAJ&amp;dq=Mariages+de+Sainte-Rosaire+de+Rochester,+NH,+1883-1976&amp;hl=en&amp;ei=1FRlTOfvNMP98AbwmuHMCA&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CCsQ6AEwAA"">Mariages de Sainte Rosaire de Rochester... @ Google Books</a></div>",,,,,,Family;Genealogy;Religion;Rochester NH,Genealogy | Généalogie
"Madawaska, Maine: Family Reunion Trees","A chronicling of the living monuments planted in honor of local families in Madawaska, Maine, during the town's annual Acadian Festival and Family Reunion celebrations. Beginning in 1980, a tree was planted and a stone engraved each year in commemoration of the persistence of a different Acadian or French-Canadian family descended from Madawaska's original settlers.","DeFarges, Rachelle Chasse;Chasse, E. David;Chasse, Andrew W.;Chasse, Geraldine",,,2003,,,,,,Genealogy,,"1980-2003, Madawaska, Maine",,,,,,,,,,,68,"Madawaska, Maine",Madawaska Historical Society,,,,,"<div class=""element-text""><a href=""http://www.madawaskahistorical.org/"">http://www.madawaskahistorical.org/</a></div>",,,,,,Acadians;Community: Customs and Social Life;Family;Genealogy;Madawaska ME;New Brunswick;Nova Scotia;Québec,Genealogy | Généalogie
"The French Canadians, 1600-1900: An Alphabetized Directory of the People, Places and Vital Dates","Genealogical directory of French-Canadian names and places useful for Franco-American family, genealogical, or historical research as far back as the 17th century.","Elliot, Noel Montgomery",,,1992,,,,,,Genealogy,"<a href=""http://www.worldcat.org/oclc/25538822"">25538822</a>","1600-1900, Canada, United States",,,,,,,,,,,,"Toronto, Ontario",Genealogical Research Library,,9.78092E+12,,,"<div class=""element-text""><a href=""http://books.google.com/books?id=1LKOPgAACAAJ&amp;dq=the+french+canadians,+1600-1900&amp;hl=en&amp;ei=KSsBTaiYBIW0lQeX0Zm-CA&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=2&amp;ved=0CCwQ6AEwAQ"">The French Canadians, 1600-1900 @ Google Books</a></div>",,,,,,Canada;Genealogy;Geography;New Brunswick;Ontario;Québec,Genealogy | Généalogie
