title,description,creator,source,publisher,date,contributor,language,rights,relation,format,type1,identifier,coverage,zotero_genre,zotero_distributor,zotero_director,z_performer,zotero_episode_number,zotero_language,zotero_network,zotero_audio_recording_format,zotero_label,zotero_running_time,zotero_num_pages,zotero_place,zotero_publisher,zotero_issn,zotero_isbn,zotero_issue,zotero_publication_title,z_url,zotero_volume,zotero_short_title,z_ref,type2,files,tags,collection
"""Nous irons (...nous encore) à  Old Orchard c't'été?"" : Popular Culture, the Media, and Québécois Vacationing on the New England Coast","Essay on the history and persistence of Québécois vacationing in Maine beach towns, and the relative transitions that both Québec tourists and New England beach cultures have made since the beginning of their nearly 150-year relationship in summer tourism.","Deslauriers, Pierre",,,2002-spr/sum,,en; fr,,,,Journal Article,"<a href=""http://www.worldcat.org/title/quebec-studies/oclc/60628349&amp;referer=brief_results/"">60628349</a>","1850-2000; Québec; Old Orchard Beach, Maine",,,,,,,,,,,,,,,,,Québec Studies,"<div class=""element-text""><a href=""http://www.acqs.org/"">http://www.acqs.org/</a></div>",33,,,,https://francolibrary.com/archive/files/6ec5791cccafd1a01873b5efee682399.jpg,Bar Harbor ME;Biddeford ME;Cape Cod MA;Emigration and Immigration;Fall River MA;Kennebunkport ME;Maine;Montréal QC;New England;New Hampshire;Nonfiction;Nonfiction -- Travel and Tourism;Ogunquit ME;Old Orchard Beach ME;Portland ME;Provincetown MA;Québec;Saco ME;Sanford ME;Sports and Leisure;Travel and Movement;Wells ME;Wildwood NJ,Journal Articles | Articles dans revues académiques
Ethnic Diversity within Catholicism : A Comparative Analysis of Contemporary and Historical Religion,"Brief sociological and historical analysis of the convergences and divergences of religion and ethnicity. Sections devoted to Italian, Irish, French Canadian, Mexican, Puerto Rican, Polish, and German Catholic societies.","Abramson, Harold J.",,,1971-07-00,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/title/ethnic-diversity-within-catholicism-a-comparative-analysis-of-contemporary-and-historical-religion/oclc/478399059&amp;referer=brief_results"">478399059</a>",20th century,,,,,,,,,,,,,,0022-4529,,4,Journal of Social History,"<div class=""element-text""><a href=""http://www.jstor.org/stable/3786476"">http://www.jstor.org/stable/3786476</a></div>",4,,,,,Canada;Demography;Ethnicity and Collective Identity;Germany;Ireland;Italy;Mexico;Nonfiction;Nonfiction -- Ethnic Studies;Nonfiction -- History -- Religion;Nonfiction -- Social Sciences;Nonfiction -- Sociology;Poland;Puerto Rico;Québec;Religion,Journal Articles | Articles dans revues académiques
French in Maine,"Essay concerning the American Association of Teachers of French (AATF) 1954 conference named, ""French in Maine."" Tries to address the specific role of French language teachers in Maine given the state's particular linguistic and ethnic characteristics.","Avila, Lilian E.;Stewart, Alice R.",,,1954-05,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/title/french-in-maine/oclc/481159127&amp;referer=brief_results"">481159127</a>",1950s; Maine,,,,,,,,,,,,,,0016-111X,,#6,The French Review,"<div class=""element-text""><a href=""http://www.jstor.org/stable/383197"">http://www.jstor.org/stable/383197</a></div>",27,,,,https://francolibrary.com/archive/files/eb80ef0f5caac5bc566a0fd688e32451.jpg,Acculturation and Assimilation;Biddeford ME;Brunswick ME;Education;Fort Kent ME;Frenchville ME;Grand Isle ME;Labor History;Language and Linguistics;Lewiston ME;Madawaska ME;Maine;New Brunswick;Nonfiction;Nonfiction -- Journalism;Nonfiction -- Language and Linguistics;Nova Scotia;St. John River Valley;Van Buren ME;Waterville ME,Journal Articles | Articles dans revues académiques
"Attitudes linguistiques et transfert à  l'Anglais dans une communauté franco-américaine non homogiène : le cas de Bristol, Connecticut ","De Bagate, Lemery, et Martin: ""Dans cet article, nous essayons de décrire le processus de transfert linguistique à  Bristol. Nous présentons d'abord un bref historique de cette communauté francophone ainsi que des données démographiques puisées dans plusieurs recensements du United States Census Bureau. Ensuite, nous analysons des commentaires provenant d'une trentaine d'entretiens réalisés aupriès des Franco-Américains de Bristol au cours de l'été 2002 et comparons l'origine, l'appartenance à  la premiière, deuxiième ou troisiième génération d'immigrants, le type de mariage (exogame, endogame), l'usage et la transmission de la langue ainsi que les attitudes linguistiques des locuteurs interviewés."" ","Bagate, Mariame;Lemery, Jodie;Martin, Veronique",,,2004-04 (printemps/spring),,fr,,,,Article journal,"<a href=""http://www.worldcat.org/title/attitudes-linguistiques-et-transfert-a-langlais-dans-une-communaute-franco-americaine-non-homogene-le-cas-de-bristol-connecticut/oclc/365528187&amp;referer=brief_results"">365528187</a>","1900-2002; Bristol, Connecticut",,,,,,,,,,,,,,1183-2487,,,Francophonies d'Amérique,"<div class=""element-text""><a href=""http://www.crccf.uottawa.ca/francophonies_amerique/index.html"">http://www.crccf.uottawa.ca/francophonies_amerique/index.html</a></div>",17,,,,https://francolibrary.com/archive/files/17be260282ea97b3bcba051344faa951.jpg,Acculturation and Assimilation;Bristol CT;Connecticut;Demography;East Hartford CT;Emigration and Immigration;Ethnicity and Collective Identity;Hartford CT;Language and Linguistics;Lewiston ME;Lowell MA;Maine;Massachusetts;Meriden CT;New Britain CT;New Brunswick;New England;New Hampshire;Nonfiction;Nonfiction -- Language and Linguistics;Rhode Island;Van Buren ME;Vermont;Waterbury CT;Waterville ME;West Hartford CT;Woonsocket RI,Journal Articles | Articles dans revues académiques
Les stratégies familiales des francophones de la Nouvelle-Angleterre : Perspective diachronique,"De Boudreau et Frenette: ""Dans cet article, nous examinons l'évolution des stratégies familiales des francophones de la Nouvelle-Angleterre dans la longue durée. En prenant la communauté de Lewiston comme étude de cas, nous nous penchons sur trois périodes : celle de la migration de masse, caractérisée par la primauté de la famille comme unité socio-économique, celle de l'implantation ethnique, qui voit les stratégies se modifier, sous l'impact de facteurs matériels et idéologiques. Apparaît alors uni, démarcation entre les stratégies des Canadiens français originaires du Québec et celles des Franco-Américains nés aux États-Unis, la période d'acculturation rapide, ù la relation famille-individu devient inversée, les stratégies visant désormais le bien-être de l'individu. Toutefois, la famille continue d'être l'agent de socialisation de base, une fonction qui inclut parfois la transmission de l'ethnicité franco-américaine.""","Boudreau, Sylvie;Frenette, Yves",Texte intégral,,1994-04,,fr,,,,Journal Article,"<a href=""http://www.worldcat.org/title/sociologie-et-societes/oclc/60639142&amp;referer=brief_results"">60639142</a>","1850-1970; Lewiston, Maine",,,,,,,,,,,,,,1492-1375,,#1,Sociologie et sociétés,"<div class=""element-text""><a href=""http://www.erudit.org/revue/socsoc/1994/v26/n1/001030ar.pdf"">http://www.erudit.org/revue/socsoc/1994/v26/n1/001030ar.pdf</a> (le texte en plein)</div>",26,,,,,Acculturation and Assimilation;Community: Customs and Social Life;Emigration and Immigration;Ethnicity and Collective Identity;Family;Lewiston ME;New England;Nonfiction;Nonfiction -- History -- Labor and Social;Nonfiction -- Social Sciences;Nonfiction -- Sociology;Québec,Journal Articles | Articles dans revues académiques
L'abbé Lionel Groulx et les conséquences de l'émigration canadienne-française aux États-Unis,"Quelques pensées sur l'attitude de Lionel Groulx - écrivain, orateur, pretre - vers l'émigration canadienne-française aux États-Unis, la rélation entre émigration, la ruralisme du Québec, et messianisme. Groulx était un vrai nationaliste, et beaucoup de ses oeuvres réfletent une conception qui assimile l'émigration avec la damnation et la fin de la francophonie canadienne et catholique.","Bélanger, Damien-Claude",,,2002-03 (spring/summer),,fr,,,,Journal article,"<a href=""http://www.worldcat.org/title/quebec-studies/oclc/60628349&amp;referer=brief_results"">60628349</a>","1890-1965; Québec, Nouvelle-Angleterre",,,,,,,,,,,,,,,,,Québec Studies,"<div class=""element-text""><a href=""http://www.acqs.org/qc_studies_journal/table_of_contents.html"">http://www.acqs.org/qc_studies_journal/table_of_contents.html</a></div>",33,,,,https://francolibrary.com/archive/files/c8a9788286822ebda4ce4345f50e762e.jpg,Acculturation and Assimilation;Emigration and Immigration;Ethnicity and Collective Identity;Farming and Agriculture;Forestry;Language and Linguistics;New Brunswick;New England;Nonfiction;Nonfiction -- Immigration;Québec;Religion;United States,Journal Articles | Articles dans revues académiques
Francophonie,"Professor Bensmaia's thoughts on ""Francophone"" as a designator replacing ""French"" in the world of literary studies, and his participation in the academic opening of the French literature discipline to the contributions of French-speaking peoples outside of the ""hexagon"" - continental France.","Bensmaia, Reda;Waters, Alyson",,,2003,,,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/482413336"">482413336</a>",1950-2000,,,,,,,,,,,,,,0044-0078,,#103,Yale French Studies,"<div class=""element-text""><a href=""http://www.jstor.org/stable/3182530"">http://www.jstor.org/stable/3182530</a></div>",,,,,,Criticism and Review;Education;Ethnicity and Collective Identity;Fiction and Literature;France;Language and Linguistics;Literary Works -- Criticism and History,Journal Articles | Articles dans revues académiques
The Spacing of Births Among French-Canadian Families : An Historical Approach,"From the author: ""This article stresses on two aspects of demography. The first aspect is a historical and geographical analysis of the spacing of births among French-Canadians and the second one is the possibilities of using genealogies as sources of data which can yield demographic information. When official computations are not available, the development of demographic data based on family genealogies may give analysts some indication of past performances within societies. Genealogies thus provide a rich source of  information for both Canadian and American historical demographers. When proper methodological techniques are applied to these data, they yield results which then permit one to draw conclusions about demographic behavior. The data for the  present article are derived from a longer study dealing with historical demographic changes among French-Canadians between 1650 and 1950. The genealogy of one French-Canadian family is the source of information utilized in this report. The paper is intended to contribute additional information on changing patterns of child spacing over time and space.""","Bouvier, Leon F.",,,1968-02,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/226000748"">226000748</a>",1650-1950; Canada; United States,,,,,,,,,,,,,,0008-4948,,#1,The Canadian Review of Sociology and Anthropology,"<div class=""element-text""><a href=""&lt;a href="">http://onlinelibrary.wiley.com/doi/10.1111/j.1755-618X.1968.tb01166.x/full</a></div>",5,,,,,Canada;Demography;Family;Genealogy;Nonfiction;Nonfiction -- Anthropology;Nonfiction -- Demography;Nonfiction -- Social Sciences;Nonfiction -- Sociology;Religion,Journal Articles | Articles dans revues académiques
The French Canadian Tay-Sachs Disease Deletion Mutation : Identification of Probable Founders,"From Brakeleer et al: ""Tay-Sachs disease (TSD) is an inherited neurodegenerative ganglioside storage disorder caused by deficiency of the hexosaminidase A enzyme. A deletion allele (FCD) at the HEXA locus has attained high frequency in the French Canadian population. The distribution of affected probands shows a likely center of diffusion for this mutation located in the Bas-St.-Laurent and Gaspésie regions of the province of Quebec. We have reconstructed the genealogies of 15 obligate carriers of the FCD allele to an average depth of 12 generations identifying 60 ancestors and 80 European founders common to all of them...""","Braekeleer, M.;Hechtman, P.;Andermann, E.;Kaplan, F.",,,1992-04-00,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/2699217"">2699217</a>","1650-1990; Bas-St-Laurent, Gaspésie, Québec",,,,,,,,,,,,,,0340-6717,,#1,Human Genetics,"<div class=""element-text""><a href=""http://www.springer.com/biomed/human+genetics/journal/439"">Human Genetics</a> (journal website)</div>",89,,,,,France;Health and Wellness;Illness;Nonfiction;Nonfiction -- Science and Medicine;Québec;St. Lawrence River Valley,Journal Articles | Articles dans revues académiques
New England French Vocabulary,"Brault's essay is an explanation of the results of language tests taken by nine Franco-American French speakers, his evaluation of their levels of vocabulary, and his observations of their speech habits. The overall conclusion of his study partially reads: ""The following partial tabulation of a Preliminary Classification Test administered to all nine informants demonstrates the fact that the two levels in the Franco-American phonetic system normally have a lexical correlation. In other words, if a Franco-American at Level 1 (i.e. that level farthest from standard French) succeeds in raising his speech phonetically to Level 2 (i.e. an intermediate level between Level 1 and standard French), his vocabulary will normally reveal a similar degree of switching to modern French.""","Brault, Gerard J.",,,1961-12,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/481209222"">481209222</a>",1950-1960; New England,,,,,,,,,,,,,,0016-111X,,#2,The French Review,"<div class=""element-text""><a href=""http://www.jstor.org/stable/383710"">http://www.jstor.org/stable/383710</a></div>",35,,,,https://francolibrary.com/archive/files/49bd855cf5416d38f17e34a0bb6fca63.jpg,Acculturation and Assimilation;Language and Linguistics;Maine;Massachusetts;New England;New Hampshire;Nonfiction;Nonfiction -- Language and Linguistics,Journal Articles | Articles dans revues académiques
Some Misconceptions about Teaching American Ethnic Children Their Mother Tongue,"Essay on language instruction, problems with favoring rote over mother tongue, and some arguments for maintaining linguistic heritages in language education.","Brault, Gerard J.",,,1964-02,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/479190371"">479190371</a>",1960s; Maine,,,,,,,,,,,,,,0026-7902,,#2,The Modern Language Journal,"<div class=""element-text""><a href=""http://www.jstor.org/stable/320417"">http://www.jstor.org/stable/320417</a></div>",48,,,,https://francolibrary.com/archive/files/720af769e1a8e2be4ec0b5b643926a5a.jpg,Acculturation and Assimilation;Education;Ethnicity and Collective Identity;Government and Politics;Language and Linguistics;Nonfiction;Nonfiction -- Language and Linguistics,Journal Articles | Articles dans revues académiques
Where French Is Not A Foreign Language : Franco-Americans and the State and University of Maine,"Rise and decline of French language media and academic programs in the US Northeast, as well as the persistence of discrimination against the North American French, with Maine as the primary context for observation. Includes tables of Maine county and town names with their respective percentage of French heritage population.","Carroll, Robert C.",Full text,,1980-05,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/3366503"">3366503</a>",1920-1980; Maine,,,,,,,,,,,,,,0148-7639,,#4,Association of Departments of Foreign Languages Bulletin,"<div class=""element-text""><a href=""http://web2.adfl.org/adfl/bulletin/v11n4/114017.htm"">http://web2.adfl.org/adfl/bulletin/v11n4/114017.htm</a></div>",11,,,,https://francolibrary.com/archive/files/769e3c76ede3b332f8c93b1f840dd59e.jpg,Acculturation and Assimilation;Auburn ME;Bangor ME;Biddeford ME;Education;Emigration and Immigration;Fort Kent ME;France;Language and Linguistics;Lewiston ME;Louisiana;Maine;Massachusetts;New Brunswick;New England;Nonfiction;Nonfiction -- Language and Linguistics;Nova Scotia;Orono ME;Québec;St. John River Valley;St. Lawrence River Valley;Waterville ME;Woonsocket RI;Worcester MA,Journal Articles | Articles dans revues académiques
"Early French Migrations to Northern Maine, 1785-1850","Essay attempting to dispel inaccuracies of the Acadian tradition in the Madawaska area, and to reckon the historical record with popular historical perceptions about that region that have developed over time by those who claim to be descendent from that region. Brief history of the birth of Madawaska. From an issue of the Maine Historical Society Quarterly entitled, ""Franco-Americans in Maine.""","Craig, Beatrice",Full text (UOttawa),,1986,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/2263768"">2263768</a>","1785-1850; Madawaska, Maine; Madawaska, New Brunswick",,,,,,,,,,,,,,0163-1152,,#4,Maine Historical Society Quarterly,"<div class=""element-text""><a href=""http://www.ruor.uottawa.ca/en/bitstream/handle/10393/12850/Craig_B%C3%A9atrice_1986_Early_French_migrations_to_Northern_Maine.pdf?sequence=1"">Early French Migrations...</a> @ UOttawa (full text)</div>",25,,,,https://francolibrary.com/archive/files/1db4408a55a8a6cdde8652c1bc972a9c.jpg,Acculturation and Assimilation;Emigration and Immigration;Family;Farming and Agriculture;Forestry;Fur-trading;Grand Isle ME;Madawaska ME;New Brunswick;Nonfiction;Nonfiction -- Immigration;Nova Scotia;Québec;St. David ME;St. John River Valley;St. Lawrence River Valley,Journal Articles | Articles dans revues académiques
Immigrants in a Frontier Community : Madawaska 1785-1850,"Essay on the effects of immigrants from French Canada on the demography, economy, and social landscape of the Upper St. John Valley, Maine, around the turn of the nineteenth century. Explores an argued distinction between ""French Canadian"" and ""Acadian."" ","Craig, Beatrice",Full text (UOttawa),,2007,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/1586704"">1586704</a>","1785-1850; Madawaska, Maine; Madawaska, New Brunswick",,,,,,,,,,,,,,,,,Histoire sociale/Social history,"<div class=""element-text""><a href=""http://www.ruor.uottawa.ca/en/bitstream/handle/10393/12807/Craig_B%C3%A9atrice_2007_Immigrants_in_a_frontier_community.pdf?sequence=1"">Immigrants in a Frontier Community...</a> @ UOttawa (full text)</div>",38,,,,https://francolibrary.com/archive/files/665a0121f51c177d0901f2fcbe5184d5.jpg,Acadians;Acculturation and Assimilation;Business and Economics;Demography;Emigration and Immigration;Farming and Agriculture;Forestry;Geography;Government and Politics;Labor History;Madawaska ME;Maine;New Brunswick;Nonfiction;Nonfiction -- Immigration;Québec;Religion;St. John River Valley,Journal Articles | Articles dans revues académiques
"Name-Changing Patterns among French Canadians in Waterville, Maine","Brief history of French-Canadian immigration to Waterville, Maine, followed by an exploration of the reasons behind a strong pattern of surname-translation and -changing in the same town. Includes a short list of original surnames and their corresponding anglicizations.","Crane, Martha;Schulhof, Tom",,,1970-02,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/481287592"">481287592</a>","1870-1950; Waterville, Maine",,,,,,,,,,,,,,0016-111X,,#3,The French Review,"<div class=""element-text""><a href=""http://www.jstor.org/stable/385505"">http://www.jstor.org/stable/385505</a></div>",43,,,,https://francolibrary.com/archive/files/93319e2943743b9076d534655c204bb2.jpg,Acculturation and Assimilation;Business and Economics;Emigration and Immigration;Ethnicity and Collective Identity;Language and Linguistics;Nonfiction;Nonfiction -- History -- Labor and Social;Nonfiction -- Language and Linguistics;Religion;Social History;Waterville ME,Journal Articles | Articles dans revues académiques
