title,description,creator,source,publisher,date,contributor,language,rights,relation,format,type1,identifier,coverage,zotero_genre,zotero_distributor,zotero_director,z_performer,zotero_episode_number,zotero_language,zotero_network,zotero_audio_recording_format,zotero_label,zotero_running_time,zotero_num_pages,zotero_place,zotero_publisher,zotero_issn,zotero_isbn,zotero_issue,zotero_publication_title,z_url,zotero_volume,zotero_short_title,z_ref,type2,files,tags,collection
Le difficile accomodement : culture paysanne et changement socioculturel dans «Papa Martel»,"Un bref essai sur «Papa Martel», un roman franco-américains par Gerard Robichaud de Lewiston, Maine. Les auteurs-ci discutent la rélation entre la tradition culturelle et les changements que Robichaud illustre avec les caractières dans son écriture.   Du texte: «Deux pôles se font donc face dans 'Papa Martel' : l'héritage canadien-français, synonyme de vie familiale chaleureuse et de la belle langue française, mais aussi de hiérarchie sociale rigide et de pauvreté; l'intégration au monde américain, où l'anglais, langue du conquérant, domine, mais où l'éducation et l'idéologie égalitaire donnent acciès au bien-être économique et à  la mobilité sociale.»","Aubé, Mary Elizabeth;Frenette, Yves",,,1992,,,,,,Article journal,"<a href=""http://www.worldcat.org/title/francophonies-damerique/oclc/55667210&amp;referer=brief_results"">55667210</a>","1900-1960; Lewiston, Maine, Nouvelle Angleterre ",,,,,,,,,,,,,,1710-1158,,#2,Francophonies d'Amérique,"<div class=""element-text""><a href=""http://www.crccf.uottawa.ca/francophonies_amerique/index.html"">http://www.crccf.uottawa.ca/francophonies_amerique/index.html</a></div>",,,,,https://francolibrary.com/archive/files/8f0735b873c5b3131913e3faccfd4233.jpg,Acculturation and Assimilation;Criticism and Review;Fiction and Literature;Lewiston ME;Literary Works -- Criticism and History;New Brunswick;New England;Social History,Literary Works | Oeuvres littéraires
An Interview with Grégoire Chabot,"Director of Assumption College's French Institute (Worcester, MA), Leslie Choquette, interviews Franco-American writer and Waterville, Maine, native, Grégoire Chabot. The interview touches upon Chabot's youth, his decision to write in French, and his wrestling with the modern Franco-Americanie.","Choquette, Leslie",,,2002 Spring/Summer ,,,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/60628349"">60628349</a>","1950-2002, Maine, Massachusetts",,,,,,,,,,,,,,,,,Québec Studies,"<div class=""element-text""><a href=""http://www.acqs.org/qc_studies_journal/table_of_contents.html"">http://www.acqs.org/qc_studies_journal/table_of_contents.html</a></div>",33,,,,,Ethnicity and Collective Identity;Fiction and Literature;Language and Linguistics;Literary Works -- Other;Performing Arts;Personal History: Biography and Oral History;Waterville ME;Worcester MA,Literary Works | Oeuvres littéraires
The American Identity of Louis Dantin : More Francophone American Than Franco-American,"From EBSCOhost: ""Provides a critique of Québécois literary figure Louis Dantin's writings. Dantin's perspective on the American scene unlike other intellectuals of the Québec diaspora. Examples of Dantin's writings that demonstrated how his American identity differed from that of other intellectuals.""","Doty, C. Stewart",,,1994,,,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/44653568"">44653568</a>","1865-1945, Québec, New England",,,,,,,,,,,,,,1710-114X,,#3,Canadian Review of American Studies,"<div class=""element-text""><a href=""http://www.utpjournals.com/cras/cras.html"">http://www.utpjournals.com/cras/cras.html</a></div>",24,,,,,Acculturation and Assimilation;Boston MA;Canada;Criticism and Review;Emigration and Immigration;Fiction and Literature;Government and Politics;Literary Works -- Criticism and History;New England;Québec,Literary Works | Oeuvres littéraires
"From Octave Crémazie to Victor-Lévy Beaulieu : Language, Literature, and Ideology",An exploration of the debates within the Québec literary community regarding the function of literature as a language tool. A discussion about joual and the French language in Québec from the 1960s onward.,"Gauvin, Lise;Henderson, Emma (translator)",,,1983,,,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/482387950"">482387950</a>","1960-1983, Québec",,,,,,,,,,,,,,0044-0078,,#65,Yale French Studies,"<div class=""element-text""><a href=""http://www.jstor.org/stable/2930037"">http://www.jstor.org/stable/2930037</a></div>",,,,,,Criticism and Review;Essay;Fiction and Literature;Government and Politics;Language and Linguistics;Literary Works -- Criticism and History;Poetry;Québec,Literary Works | Oeuvres littéraires
French Canada's Search for a Homeland : A Literary Perspective,"Gill explores French Canadian societies through the lens of its literatures, particularly those coming from Quebec. He introduces his efforts with a brief illustration of the rise and fall of New France, where he claims that French Canadians have been left in a position of political defeat (whether or not they choose to accept it as such) for almost two centuries, and thus in a constant struggle for survival through the establishment of a political homeland. Up until recently, says Gill, the French Canadian search for such a home has been bolstered by the linguistic, religious, and otherwise cultural principles of ""la survivance,"" and has been crucial to the persistence of Francophone Quebec. Oftentimes, as Gill will also point out, ""la survivance"" has been trumped more confidently by a ""rayonnement,"" or a principal desire to spread one's own culture. We these ideas in mind, Gill traces the French Canadian experiences of political defeat and cultural persistence - the search for and development of a ""homeland"" - through their telling literatures. We see a fallen New France and a rising Quebec through images in fiction.","Gill, Robert M.",,,1978 Autumn,,,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/60621291"">60621291</a>","1600-1970, Quebec in literature",,,,,,,,,,,,,,1943-9954,,#2,American Review of Canadian Studies,"<div class=""element-text""><a href=""http://www.acsus.org"">http://www.acsus.org</a></div>",8,,,,,Acculturation and Assimilation;Canada;Criticism and Review;Ethnicity and Collective Identity;Exploration and Colonization;Farming and Agriculture;Fiction and Literature;France;Fur-trading;Government and Politics;Literary Works -- Criticism and History;New England;Québec;Religion;War,Literary Works | Oeuvres littéraires
"Vanity of Duluoz : An Adventurous Education, 1935-1946","Written in 1967, near the end of Kerouac's life, ""Vanity of Duluoz"" moves into Jack's university exploits, through his Merchant Marine life, and all around the important Manhattan context in which the Beat Movement's origins are often situated. Another piece of autobiographical fiction in the ""Duluoz Legen."" ","Kerouac, Jack",,,1968,,,,,,Book,"<a href=""http://www.worldcat.org/oclc/244367"">244367</a>",,,,,,,,,,,,280,"New York, New York",Coward-McCann,,9.78014E+12,,,"<div class=""element-text""><a href=""http://us.penguingroup.com/nf/Book/BookDisplay/0,,9780140236392,00.html?strSrchSql=vanity+of+duluoz/Vanity_of_Duluoz_Jack_Kerouac"">http://us.penguingroup.com/nf/Book/BookDisplay/0,,9780140236392,00.html?strSrchSql=vanity+of+duluoz/Vanity_of_Duluoz_Jack_Kerouac</a></div>",,,,,https://francolibrary.com/archive/files/84de2dc89917a8f8c65bbb71c5733aa1.jpg,Alcohol and Drugs;Education;Family;Fiction and Literature;Literary Works -- Fiction;New York NY;Sports and Leisure,Literary Works | Oeuvres littéraires
The Melting Pot That Boiled Over : Racial Fetishism and the Lingua Franca of Jack Kerouac's Fiction,"From the author: ""The racechanges in Jack Kerouac's fiction originate in racial fetishism. Kerouac's arrested Oedipal narratives and his related myth of Native Canadian ancestry lead to ambivalent identifications with black subjects, who exhibit characteristics that more properly belong to Kerouac's mother. These identifications exhibit a fetishistic play of presence and absence. Accordingly, Kerouac's racechanges are unstable formations designed to consolidate an ethnic minority writer's American national identity, his autochthonous link to a gendered landscape and his volatile sexuality. When Kerouac's fiction is read in 'translation,' his joual mother-tongue dramatises a psychosexual crisis in national belonging.""","Nicholls, Brendon",,,2003,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/364620388"">364620388</a>",1935-1967; United States,,,,,,,,,,,,,,0026-7724,,#3,Modern Fiction Studies,"<div class=""element-text""><a href=""http://www.cla.purdue.edu/english/mfs/"">http://www.cla.purdue.edu/english/mfs/</a></div>",49,,,,https://francolibrary.com/archive/files/3421763a7f7ca0dcc844f0e74c102524.jpg,Criticism and Review;Ethnicity and Collective Identity;Fiction and Literature;Gender and Sexuality;Language and Linguistics;Literary Works -- Criticism and History;Lowell MA,Literary Works | Oeuvres littéraires
Jack Kerouac : l'écriture et l'identité franco-américaine,"Sur la relation entre l'écriture et l'ethnie franco-americaine de Jack Kerouac dans sa texte 'Satori in Paris.' De l'auteur: ""L'œuvre de Kerouac crée un lien étroit entre l'ethnie et l'écriture. Ce lien ne se présente pas comme une représentation mimétique, mais comme une dialectique entre l'ethnie qui produit l'écriture et l'écriture qui met en question l'ethnie.""","Pinette, Susan",,,2004,,,,,,Article dans un revue,"<a href=""http://www.worldcat.org/oclc/365528519"">365528519</a>",,,,,,,,,,,,,,,1183-2487,,printemps,Francophonies d'Amérique,"<div class=""element-text""><a href=""http://www.crccf.uottawa.ca/francophonies_amerique/index.html"">http://www.crccf.uottawa.ca/francophonies_amerique/index.html</a></div>",17,,,,,Criticism and Review;Essay;Ethnicity and Collective Identity;Fiction and Literature;France;Language and Linguistics;Literary Works -- Criticism and History;Lowell MA,Literary Works | Oeuvres littéraires
Through Roots and Routes : On the Road's Portrayal of an Outsider's Journey into the Meaning of America,"From Skinazi: ""This paper will show that, in 'On the Road,' Kerouac reflects on what it is to be a Franco-American manboth American and not....Jack Kerouac believed that his French Canadian roots held the key to his knowledge, despite the fact that he became known as the 'principal avatar' of a generation of American youth. In his bestselling autobiographical novel, 'On the Road,' Kerouac splits his ethnic (French) and national (American) sides into two figures, Sal and Dean, to demonstrate the deficits and benefits of both parts of a hyphenated identity. Italian Sal sees himself as the eternal outsider, whereas Dean is America itself. Yet Sal uses his outsider qualities to connect with other outsiders whose 'roots' are beyond the limits of nationhood. And Dean, despite the seemingly endless freedom of his 'routes' across the country, is stuck in old tropes of Americanness that do not afford him new possibilities. Together, they create a vision of America that is full of its own grandeur, while refusing to be insular.","Skinazi, Karen E.H.",,,2009,,,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/630694433"">630694433</a>",,,,,,,,,,,,,,,0007-7720,,#1,Canadian Review of American Studies,"<div class=""element-text""><a href=""http://www.utpjournals.com/cras/cras.html"">http://www.utpjournals.com/cras/cras.html</a></div>",39,,,,,Criticism and Review;Ethnicity and Collective Identity;Fiction and Literature;Literary Works -- Criticism and History;Lowell MA;Pawtucketville MA;Travel and Movement;United States,Literary Works | Oeuvres littéraires
Novelists and Ethnicity : Jack Kerouac and Grace Metalious as Franco-Americans,"In this short piece, Richard Sorrell casts early twentieth-century writers Jack Kerouac and Grace Metalious into the timeline of Franco-American ethnic integration. Sorrell attempts to illustrate the relationship between these writers' works and their backgrounds, with many a turbid novel coming out of the struggle between Franco-American identity development and French-Canadian survivance. From Sorrell: ""What possible line could there be between the man who wrote 'On the Road,' one of the founders of the 'beat' generation, and the crass promoter of lurid best-sellers such as 'Peyton Place?' The thesis of this essay is that such a connection can be found in a little-appreciated bond between the two authors, their common ethnic background. Kerouac and Metalious came from a heritage whose basic cultural attributes (maintenance of traditional nationality and religion, and militant defense of conservatism, Catholicism, and the family) seem to be in conflict with the popular image of both writers."" (p. 37)","Sorrell, Richard S.",,,1982 Spring,,,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/482902632"">482902632</a>","1930-1970, New England",,,,,,,,,,,,,,0163-755X,,#1,MELUS,"<div class=""element-text""><a href=""http://www.jstor.org/stable/467594"">http://www.jstor.org/stable/467594</a></div>",9,,,,,Criticism and Review;Essay;Ethnicity and Collective Identity;Family;Fiction and Literature;Literary Works -- Criticism and History;Lowell MA;Manchester NH;Personal History: Biography and Oral History,Literary Works | Oeuvres littéraires
