,title,description,creator,source,publisher,date,contributor,language,rights,relation,format,type1,identifier,coverage,zotero_genre,zotero_distributor,zotero_director,z_performer,zotero_episode_number,zotero_language,zotero_network,zotero_audio_recording_format,zotero_label,zotero_running_time,zotero_num_pages,zotero_place,zotero_publisher,zotero_issn,zotero_isbn,zotero_issue,zotero_publication_title,z_url,zotero_volume,zotero_short_title,z_ref,type2,files,tags
0,"""Nous irons (...nous encore) √É¬† Old Orchard c't'ÈtÈ?"" : Popular Culture, the Media, and QuÈbÈcois Vacationing on the New England Coast","Essay on the history and persistence of QuÈbÈcois vacationing in Maine beach towns, and the relative transitions that both QuÈbec tourists and New England beach cultures have made since the beginning of their nearly 150-year relationship in summer tourism.","Deslauriers, Pierre",,,2002-spr/sum,,en; fr,,,,Journal Article,"<a href=""http://www.worldcat.org/title/quebec-studies/oclc/60628349&amp;referer=brief_results/"">60628349</a>","1850-2000; QuÈbec; Old Orchard Beach, Maine",,,,,,,,,,,,,,,,,QuÈbec Studies,http://www.acqs.org/,33,,,,https://francolibrary.com/archive/files/6ec5791cccafd1a01873b5efee682399.jpg,Bar Harbor ME;Biddeford ME;Cape Cod MA;Emigration and Immigration;Fall River MA;Kennebunkport ME;Maine;MontrÈal QC;New England;New Hampshire;Nonfiction;Nonfiction -- Travel and Tourism;Ogunquit ME;Old Orchard Beach ME;Portland ME;Provincetown MA;QuÈbec;Saco ME;Sanford ME;Sports and Leisure;Travel and Movement;Wells ME;Wildwood NJ
1,Ethnic Diversity within Catholicism : A Comparative Analysis of Contemporary and Historical Religion,"Brief sociological and historical analysis of the convergences and divergences of religion and ethnicity. Sections devoted to Italian, Irish, French Canadian, Mexican, Puerto Rican, Polish, and German Catholic societies.","Abramson, Harold J.",,,1971-07-00,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/title/ethnic-diversity-within-catholicism-a-comparative-analysis-of-contemporary-and-historical-religion/oclc/478399059&amp;referer=brief_results"">478399059</a>",20th century,,,,,,,,,,,,,,0022-4529,,4,Journal of Social History,http://www.jstor.org/stable/3786476,4,,,,,Canada;Demography;Ethnicity and Collective Identity;Germany;Ireland;Italy;Mexico;Nonfiction;Nonfiction -- Ethnic Studies;Nonfiction -- History -- Religion;Nonfiction -- Social Sciences;Nonfiction -- Sociology;Poland;Puerto Rico;QuÈbec;Religion
2,Migration Fields of French Canadian Immigrants to Southern Maine,"Article on the migrations of French Canadians in Central and Southern Maine to their precise places of departure in QuÈbec. Includes maps that illustrate migration fields and indicate concentrations of Maine Franco Americans.  From the author: ""Birthplaces of French Canadian immigrants to six Maine cities during the period 1890-1925 were mapped from information in biographical summaries and naturalization documents....This study suggests that migration fields tend to persist through time, sometimes despite transportation changes, that the areal extent of fields is related to the size and rapidity of immigration rather than to the age of fields, and that fields are probably best identified by county rather than by community units.""","Allen, James P.",,,1972 July,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/title/migration-fields-of-french-canadian-immigrants-to-southern-maine/oclc/483269409&amp;referer=brief_results"">483269409</a>",1890-1925; QuÈbec; Southern Maine,,,,,,,,,,,,,,0016-7428,,3,Geographical Review,http://www.jstor.org/stable/213288,62,,,,https://francolibrary.com/archive/files/9300052e09a61c9ea290ff0b4671860d.jpg,Auburn ME;Augusta ME;Biddeford ME;Brunswick ME;Chaudiere River Valley;Demography;Emigration and Immigration;Geography;Kennebec River Valley;La Beauce QC;Labor History;Lewiston ME;Madawaska ME;Maine;Meriden CT;Mills and Mill Work;MontrÈal QC;Nonfiction;Nonfiction -- Geography;Penobscot River Valley;Portland ME;QuÈbec;Saco ME;Sanford ME;Skowhegan ME;St. John River Valley;St. Lawrence River Valley;Waterville ME;Westbrook ME;Woonsocket RI
3,Franco-Americans in Maine : A Geographical Perspective,"A study of Franco Americans in Maine with respect to geography: movement, placement, population growth, and cultural stability.  From the author: ""The major purpose of this paper is to depict the geographic characteristics of Maine's Franco-Americans during the twentieth century and to show what changes have occurred in recent years....A second purpose of the paper is to describe certain changes in culture and social structure which have occurred as Franco-Americans have experienced assimilation to varying degrees in different places.""","Allen, James P.",Full text,,1974 Autumn ,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/title/acadiensis/oclc/1670823&amp;referer=brief_results"">1670823</a>",1900-1974; Maine,,,,,,,,,,,,,,0044-5851,,1,Acadiensis,http://journals.hil.unb.ca/index.php/Acadiensis/article/view/11367/12117 (full text available here),9,,,,https://francolibrary.com/archive/files/39a5133f320eccd1d3cecba704c42086.jpg,Aroostook County ME;Augusta ME;Biddeford ME;Caribou ME;Demography;Eagle Lake ME;Education;Ethnicity and Collective Identity;Farming and Agriculture;Forestry;Frenchville ME;Geography;Labor History;Lewiston ME;Mills and Mill Work;Nonfiction;Nonfiction -- Geography;Religion;St. John River Valley;Van Buren ME;Wallagrass ME;Waterville ME;Winterville ME
4,Le difficile accomodement : culture paysanne et changement socioculturel dans √Ç¬´Papa Martel√Ç¬ª,"Un bref essai sur ¬´Papa Martel¬ª, un roman franco-amÈricains par Gerard Robichaud de Lewiston, Maine. Les auteurs-ci discutent la rÈlation entre la tradition culturelle et les changements que Robichaud illustre avec les caractiËres dans son Ècriture.   Du texte: ¬´Deux p√¥les se font donc face dans 'Papa Martel' : l'hÈritage canadien-franÁais, synonyme de vie familiale chaleureuse et de la belle langue franÁaise, mais aussi de hiÈrarchie sociale rigide et de pauvretÈ; l'intÈgration au monde amÈricain, o√π l'anglais, langue du conquÈrant, domine, mais o√π l'Èducation et l'idÈologie Ègalitaire donnent acciËs au bien-Ítre Èconomique et √† la mobilitÈ sociale.¬ª","AubÈ, Mary Elizabeth;Frenette, Yves",,,1992,,,,,,Article journal,"<a href=""http://www.worldcat.org/title/francophonies-damerique/oclc/55667210&amp;referer=brief_results"">55667210</a>","1900-1960; Lewiston, Maine, Nouvelle Angleterre ",,,,,,,,,,,,,,1710-1158,,#2,Francophonies d'AmÈrique,http://www.crccf.uottawa.ca/francophonies_amerique/index.html,,,,,https://francolibrary.com/archive/files/8f0735b873c5b3131913e3faccfd4233.jpg,Acculturation and Assimilation;Criticism and Review;Fiction and Literature;Lewiston ME;Literary Works -- Criticism and History;New Brunswick;New England;Social History
5,French in Maine,"Essay concerning the American Association of Teachers of French (AATF) 1954 conference named, ""French in Maine."" Tries to address the specific role of French language teachers in Maine given the state's particular linguistic and ethnic characteristics.","Avila, Lilian E.;Stewart, Alice R.",,,1954-05,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/title/french-in-maine/oclc/481159127&amp;referer=brief_results"">481159127</a>",1950s; Maine,,,,,,,,,,,,,,0016-111X,,#6,The French Review,http://www.jstor.org/stable/383197,27,,,,https://francolibrary.com/archive/files/eb80ef0f5caac5bc566a0fd688e32451.jpg,Acculturation and Assimilation;Biddeford ME;Brunswick ME;Education;Fort Kent ME;Frenchville ME;Grand Isle ME;Labor History;Language and Linguistics;Lewiston ME;Madawaska ME;Maine;New Brunswick;Nonfiction;Nonfiction -- Journalism;Nonfiction -- Language and Linguistics;Nova Scotia;St. John River Valley;Van Buren ME;Waterville ME
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Attitudes linguistiques et transfert √É¬† l'Anglais dans une communautÈ franco-amÈricaine non homogiËne : le cas de Bristol, Connecticut ","De Bagate, Lemery, et Martin: ""Dans cet article, nous essayons de dÈcrire le processus de transfert linguistique √É¬† Bristol. Nous prÈsentons d‚‚Ç¨‚Ñ¢abord un bref historique de cette communautÈ francophone ainsi que des donnÈes dÈmographiques puisÈes dans plusieurs recensements du United States Census Bureau. Ensuite, nous analysons des commentaires provenant d‚‚Ç¨‚Ñ¢une trentaine d‚‚Ç¨‚Ñ¢entretiens rÈalisÈs aupriËs des Franco-AmÈricains de Bristol au cours de l‚‚Ç¨‚Ñ¢ÈtÈ 2002 et comparons l‚‚Ç¨‚Ñ¢origine, l‚‚Ç¨‚Ñ¢appartenance √É¬† la premiiËre, deuxiiËme ou troisiiËme gÈnÈration d‚‚Ç¨‚Ñ¢immigrants, le type de mariage (exogame, endogame), l‚‚Ç¨‚Ñ¢usage et la transmission de la langue ainsi que les attitudes linguistiques des locuteurs interviewÈs."" ","Bagate, Mariame;Lemery, Jodie;Martin, Veronique",,,2004-04 (printemps/spring),,fr,,,,Article journal,"<a href=""http://www.worldcat.org/title/attitudes-linguistiques-et-transfert-a-langlais-dans-une-communaute-franco-americaine-non-homogene-le-cas-de-bristol-connecticut/oclc/365528187&amp;referer=brief_results"">365528187</a>","1900-2002; Bristol, Connecticut",,,,,,,,,,,,,,1183-2487,,,Francophonies d'AmÈrique,http://www.crccf.uottawa.ca/francophonies_amerique/index.html,17,,,,https://francolibrary.com/archive/files/17be260282ea97b3bcba051344faa951.jpg,Acculturation and Assimilation;Bristol CT;Connecticut;Demography;East Hartford CT;Emigration and Immigration;Ethnicity and Collective Identity;Hartford CT;Language and Linguistics;Lewiston ME;Lowell MA;Maine;Massachusetts;Meriden CT;New Britain CT;New Brunswick;New England;New Hampshire;Nonfiction;Nonfiction -- Language and Linguistics;Rhode Island;Van Buren ME;Vermont;Waterbury CT;Waterville ME;West Hartford CT;Woonsocket RI
8,√É‚Ç¨ travers les frontiiËres : QuÈbec and QuÈbec Studies,"From the author: ""Since the onset of la Revolution Tranquille more than 25 years ago, the province of QuÈbec has established an ever-increasing international presence, alone and in cooperation with the Canadian federal government. Provincial authorities, with assertiveness and confidence, have worked to establish the province as the heartland of the French in North America and also to present the QuÈbÈcois as representing a distinctive society. This study briefly traces the evolution of the QuÈbÈcois' adventurous nature and examines the various ways in which the province functions beyond its frontiers, especially within the academic milieu.""","Beach, J. Richard",,,1988,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/title/journal-of-cultural-geography/oclc/43321549&amp;referer=brief_results"">43321549</a>",1960-1988; QuÈbec,,,,,,,,,,,,,,0887-3631,,2,Journal of Cultural Geography,http://www.tandf.co.uk/journals/titles/08873631.asp,8,,,,,Canada;Education;Emigration and Immigration;Ethnicity and Collective Identity;Geography;Government and Politics;Nonfiction;Nonfiction -- French in North America;Nonfiction -- Geography;QuÈbec
9,Les stratÈgies familiales des francophones de la Nouvelle-Angleterre : Perspective diachronique,"De Boudreau et Frenette: ""Dans cet article, nous examinons l'Èvolution des stratÈgies familiales des francophones de la Nouvelle-Angleterre dans la longue durÈe. En prenant la communautÈ de Lewiston comme Ètude de cas, nous nous penchons sur trois pÈriodes : celle de la migration de masse, caractÈrisÈe par la primautÈ de la famille comme unitÈ socio-Èconomique, celle de l'implantation ethnique, qui voit les stratÈgies se modifier, sous l'impact de facteurs matÈriels et idÈologiques. Appara√É¬Æt alors uni, dÈmarcation entre les stratÈgies des Canadiens franÁais originaires du QuÈbec et celles des Franco-AmÈricains nÈs aux √É‚Ä∞tats-Unis, la pÈriode d'acculturation rapide, o√É¬π la relation famille-individu devient inversÈe, les stratÈgies visant dÈsormais le bien-Ítre de l'individu. Toutefois, la famille continue d'Ítre l'agent de socialisation de base, une fonction qui inclut parfois la transmission de l'ethnicitÈ franco-amÈricaine.""","Boudreau, Sylvie;Frenette, Yves",Texte intÈgral,,1994-04,,fr,,,,Journal Article,"<a href=""http://www.worldcat.org/title/sociologie-et-societes/oclc/60639142&amp;referer=brief_results"">60639142</a>","1850-1970; Lewiston, Maine",,,,,,,,,,,,,,1492-1375,,#1,Sociologie et sociÈtÈs,http://www.erudit.org/revue/socsoc/1994/v26/n1/001030ar.pdf (le texte en plein),26,,,,,Acculturation and Assimilation;Community: Customs and Social Life;Emigration and Immigration;Ethnicity and Collective Identity;Family;Lewiston ME;New England;Nonfiction;Nonfiction -- History -- Labor and Social;Nonfiction -- Social Sciences;Nonfiction -- Sociology;QuÈbec
